Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions	Id	Common-Name
folate transformations III (<i>E. coli</i>)	"Cofactor, Carrier, and Vitamin Biosynthesis"	Folate Transformations	Fungi // Metazoa // Bacteria <bacteria>	Escherichia coli	"a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O // a 5,10-methylenetetrahydrofolate + NADP+  <-->  a 5,10-methenyltetrahydrofolate + NADPH // a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+ // glycine + a tetrahydrofolate + NAD+  <-->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH // L-homocysteine + a 5-methyltetrahydrofolate  ->  L-methionine + a tetrahydrofolate // a 5-methyltetrahydrofolate + NAD+  <-  a 5,10-methylenetetrahydrofolate + NADH + H+ // a (6S)-5-formyltetrahydrofolate + ATP  ->  a 5,10-methenyltetrahydrofolate + ADP + phosphate // a tetrahydrofolate + NADP+  <-  a 7,8-dihydrofolate + NADPH + H+"	1CMET2-PWY	folate transformations III (E. coli)
kanamycin biosynthesis	Superpathways // Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis // Superpathways	Actinobacteria	Streptomyces kanamyceticus	"paromamine biosynthesis I // kanamycin B + 2-oxoglutarate + dioxygen  ->  2'-dehydrokanamycin A + succinate + ammonium + CO2 // kanamycin A + NADP+  <-  2'-dehydrokanamycin A + NADPH + H+ // 2'-deamino-2'-hydroxyparomamine + dioxygen  ->  2'-deamino-2'-hydroxy-6'-dehydroparomamine + hydrogen peroxide // paromamine + dioxygen  ->  6'-dehydroparomamine + hydrogen peroxide // UDP-alpha-D-glucose + neamine  ->  3''-deamino-3''-hydroxykanamycin B + UDP + H+ // UDP-alpha-D-glucose + 2'-deamino-2'-hydroxyneamine  ->  kanamycin D + UDP + H+ // neamine + UDP-alpha-D-kanosamine  ->  kanamycin B + UDP + H+ // neamine + 2-oxoglutarate  <-->  6'-dehydroparomamine + L-glutamate // paromamine + UDP-alpha-D-kanosamine  ->  kanamycin C + UDP + H+ // 2'-deamino-2'-hydroxy-6'-dehydroparomamine + L-glutamate  <-->  2'-deamino-2'-hydroxyneamine + 2-oxoglutarate // 2'-deamino-2'-hydroxyneamine + UDP-alpha-D-kanosamine  ->  kanamycin A + UDP + H+ // 2'-deamino-2'-hydroxyparomamine + UDP-alpha-D-kanosamine  ->  kanamycin X + UDP + H+ // 2'-N-acetylparomamine + H2O  ->  paromamine + acetate // UDP-alpha-D-glucose + 2-deoxystreptamine  ->  2'-deamino-2'-hydroxyparomamine + UDP + H+ // UDP-N-acetyl-alpha-D-glucosamine + 2-deoxystreptamine  ->  2'-N-acetylparomamine + UDP + H+ // D-glucopyranose 6-phosphate  ->  2-deoxy-L-scyllo-inosose + phosphate // L-glutamine + 2-deoxy-L-scyllo-inosose  <-->  2-oxoglutaramate + 2-deoxy-scyllo-inosamine // L-glutamine + 3-amino-2,3-dideoxy-scyllo-inosose  <-->  2-oxoglutaramate + 2-deoxystreptamine // 2-deoxy-scyllo-inosamine + NAD(P)+  ->  3-amino-2,3-dideoxy-scyllo-inosose + NAD(P)H + H+"	PWY-7000	kanamycin biosynthesis
L-glutamate biosynthesis I	Amino Acid Biosynthesis	L-glutamate Biosynthesis	Viridiplantae // Fungi // Bacteria <bacteria> // Archaea	Azospirillum brasilense // Bacillus licheniformis // Escherichia coli // Thermococcus kodakarensis	L-glutamine + H2O  ->  L-glutamate + ammonia + H+ // ammonia + 2-oxoglutarate + NADPH + 2 H+  ->  L-glutamate + NADP+ + H2O	GLUTSYN-PWY	L-glutamate biosynthesis I
folate transformations II (plants)	"Cofactor, Carrier, and Vitamin Biosynthesis"	Folate Transformations	Viridiplantae	Glycine max // Pisum sativum // Solanum lycopersicum // Solanum tuberosum // Spinacia oleracea // Arabidopsis thaliana	"a 5,10-methylenetetrahydrofolate + dUMP  ->  dTMP + a 7,8-dihydrofolate // L-serine + a tetrahydrofolate  <-->  glycine + a 5,10-methylenetetrahydrofolate + H2O // a 5,10-methylenetetrahydrofolate + NADP+  <-->  a 5,10-methenyltetrahydrofolate + NADPH // a tetrahydrofolate + ATP + formate  ->  an N10-formyltetrahydrofolate + ADP + phosphate // a 5,10-methenyltetrahydrofolate + H2O  <-->  an N10-formyltetrahydrofolate + H+ // glycine + a tetrahydrofolate + NAD+  <-->  a 5,10-methylenetetrahydrofolate + ammonium + CO2 + NADH // L-homocysteine + a 5-methyltetrahydrofolate  ->  L-methionine + a tetrahydrofolate // a 5-methyltetrahydrofolate + NAD+  <-  a 5,10-methylenetetrahydrofolate + NADH + H+ // a (6S)-5-formyltetrahydrofolate + ATP  ->  a 5,10-methenyltetrahydrofolate + ADP + phosphate // a 5,10-methenyltetrahydrofolate + H2O  ->  a (6S)-5-formyltetrahydrofolate + H+ // a tetrahydrofolate + NADP+  <-  a 7,8-dihydrofolate + NADPH + H+"	PWY-3841	folate transformations II (plants)
pyruvate fermentation to acetate I	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Superpathways	Bacteria <bacteria>	Clostridium pasteurianum // Clostridium acetobutylicum // Anaerotignum propionicum // Clostridium acetobutylicum	acetate and ATP formation from acetyl-CoA I // pyruvate + 2 an oxidized ferredoxin [iron-sulfur] cluster + coenzyme A  <-->  acetyl-CoA + CO2 + 2 a reduced ferredoxin [iron-sulfur] cluster + H+	P142-PWY	pyruvate fermentation to acetate I
elloramycin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Actinobacteria	Streptomyces olivaceus	"ElmH // ElmI // acetyl-CoA + 9 malonyl-CoA + H2O + 8 H+  ->  3,5,7,9,11,13,15,17,19-nonaoxoicosanoate + 9 CO2 + 10 coenzyme A // 3,5,7,9,11,13,15,17,19-nonaoxoicosanoate  ->  3,5-dioxo-6-[4,5,7-trihydroxy-3-(3-oxobutanoyl)naphthalen-2-yl]hexanoate + 2 H2O // ElmJ // S-adenosyl-L-methionine + tetracenomycin D3  ->  tetracenomycin B3 + S-adenosyl-L-homocysteine // ElmP // tetracenomycin B2 + 2 NADPH + 2 dioxygen + 2 H+  ->  8-demethyltetracenomycin C + 2 NADP+ + H2O // 8-demethyltetracenomycin C + dTDP-beta-L-rhamnose  ->  8-demethyl-8-alpha-L-rhamnosyl-tetracenomycin C + dTDP + H+ // S-adenosyl-L-methionine + 8-demethyl-8-alpha-L-rhamnosyl-tetracenomycin C  ->  8-demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)-tetracenomycin C + S-adenosyl-L-homocysteine + H+ // S-adenosyl-L-methionine + 8-demethyl-8-(2-O-methyl-alpha-L-rhamnosyl)-tetracenomycin C  ->  8-demethyl-8-(2,3-O-dimethyl-alpha-L-rhamnosyl)-tetracenomycin C + S-adenosyl-L-homocysteine + H+ // S-adenosyl-L-methionine + 8-demethyl-8-(2,3-O-dimethyl-alpha-L-rhamnosyl)-tetracenomycin C  ->  12-demethyl-elloramycin + S-adenosyl-L-homocysteine + H+ // ElmD"	PWY-7483	elloramycin biosynthesis
L-glutamate biosynthesis II	Amino Acid Biosynthesis	L-glutamate Biosynthesis	Opisthokonta // Bacteria <bacteria> // Archaea	Homo sapiens	L-glutamate + NAD(P)+ + H2O  <-->  2-oxoglutarate + ammonium + NAD(P)H + H+	GLUTAMATE-SYN2-PWY	L-glutamate biosynthesis II
"oleate &beta;-oxidation (reductase-dependent, yeast)"	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Fungi	Saccharomyces cerevisiae	"(3E)-tetradec-3-enoyl-CoA  <-->  (2E)-tetradec-2-enoyl-CoA // 2-trans,4-trans-tetradecadienoyl-CoA reductase // (3E,5Z)-tetradeca-3,5-dienoyl-CoA  <-->  (2E,4E)-tetradeca-2,4-dienoyl-CoA"	PWY-7307	"oleate beta-oxidation (reductase-dependent, yeast)"
guadinomine B biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Streptomyces sp. K01-0509	"guanidinoacetate + polyketide synthase + ATP  ->  guanidinoacetyl-[polyketide synthase] + AMP + diphosphate // (2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoyl-[GdnH polyketide synthase] + H2O  ->  (2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoate + GdnH polyketide synthase + H+ // carbamoyl phosphate + (2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoate  ->  (2S,3S,7R)-2,3-diamino-8-(1-carbamoyl-2-iminoimidazolidin-4-yl)-7-hydroxyoctanoate + phosphate // hydrogencarbonate + ATP  ->  carboxyphosphate + ADP // carboxyphosphate + ammonium  ->  carbamate + phosphate + 2 H+ // carbamate + ATP  <-->  carbamoyl phosphate + ADP // L-arginine + glycine  ->  L-ornithine + guanidinoacetate // a holo-[L-seryl-carrier protein] + L-serine + ATP  ->  an L-seryl-[L-seryl-carrier protein] + AMP + diphosphate // an L-seryl-[L-seryl-carrier protein] + NAD+  ->  a 2-aminomalonyl semialdehyde-[L-seryl-carrier protein] + NADH + H+ // a 2-aminomalonyl semialdehyde-[L-seryl-carrier protein] + FAD + H2O  ->  an aminomalonyl-[L-seryl-carrier protein] + FADH2 // GdnI // (2S,3S,7R)-2,3-diamino-8-(1-carbamoyl-2-iminoimidazolidin-4-yl)-7-hydroxyoctanoate + L-alanyl-L-valine  ->  6-dehydroguadinomine B + H2O + H+ // guanidinoacetyl-[polyketide synthase] + an aminomalonyl-[L-seryl-carrier protein] + 2 malonyl-CoA + L-glutamate + 8 NADPH + 10 H+  ->  (2S,3S,7R)-2-amino-3-amino-7-hydroxy-8-(2-iminoimidazolidin-4-yl)octanoyl-[GdnH polyketide synthase] + 2-oxoglutarate + a holo-[L-seryl-carrier protein] + CO2 + 2 coenzyme A + 8 NADP+ + 5 H2O"	PWY-7693	guadinomine B biosynthesis
L-glutamate biosynthesis V	Amino Acid Biosynthesis	L-glutamate Biosynthesis	Viridiplantae // Cyanobacteria	Synechocystis sp. PCC 6803 // Vitis vinifera // Arabidopsis thaliana	2 L-glutamate + 2 an oxidized ferredoxin [iron-sulfur] cluster  <-  2-oxoglutarate + L-glutamine + 2 a reduced ferredoxin [iron-sulfur] cluster + 2 H+	PWY-4341	L-glutamate biosynthesis V
"10-<i>trans</i>-heptadecenoyl-CoA degradation (MFE-dependent, yeast)"	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Fungi	Saccharomyces cerevisiae	"3-hydroxy-heptanoyl-CoA + coenzyme A + NAD+ + H2O + dioxygen  ->  3-hydroxypentanoyl-CoA + acetyl-CoA + hydrogen peroxide + NADH + H+ // (3R)-hydroxynonanoyl-CoA + coenzyme A + NAD+ + H2O + dioxygen  ->  3-hydroxy-heptanoyl-CoA + acetyl-CoA + hydrogen peroxide + NADH + H+ // (3R)-hydroxynonanoyl-CoA  <-  2-trans-nonenoyl-CoA + H2O // 2-trans-nonenoyl-CoA + acetyl-CoA  <-  4-trans-3-oxo-undecenoyl-CoA + coenzyme A // (3R)-hydroxy, 4-trans-undecenoyl-CoA + NAD+  ->  4-trans-3-oxo-undecenoyl-CoA + NADH + H+ // enoyl-CoA hydratase"	PWY-7339	"10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)"
pyruvate fermentation to acetate and lactate II	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Pyruvate Fermentation to Lactate // Superpathways	Bacteria <bacteria>	Thermotoga maritima	pyruvate fermentation to (<i>S</i>)-lactate // pyruvate fermentation to acetate I	PWY-5100	pyruvate fermentation to acetate and lactate II
tetracycline and oxytetracycline biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Streptomyces rimosus // Streptomyces rimosus	"5a,11a-dehydrotetracycline + a reduced factor 420  ->  tetracycline + an oxidized factor 420 // anhydrotetracycline + NADPH + dioxygen + H+  ->  5a,11a-dehydrotetracycline + NADP+ + H2O // 5a,11a-dehydrooxytetracycline + a reduced factor 420  ->  oxytetracycline + an oxidized factor 420 // 5a,11a-dehydrotetracycline + NADPH + dioxygen + H+  ->  5a,11a-dehydrooxytetracycline + NADP+ + H2O // S-adenosyl-L-methionine + 4-amino-4-de(dimethylamino)anhydrotetracycline  ->  4-methylamino-4-de(dimethylamino)anhydrotetracycline + S-adenosyl-L-homocysteine + H+ // S-adenosyl-L-methionine + 4-methylamino-4-de(dimethylamino)anhydrotetracycline  ->  anhydrotetracycline + S-adenosyl-L-homocysteine + H+ // an aminated amino group donor + 4-dedimethylamino-4-oxoanhydrotetracycline  <-->  a deaminated amino group donor + 4-amino-4-de(dimethylamino)anhydrotetracycline // 4-hydroxy-6-methylpretetramide + NADPH + dioxygen + H+  ->  4-dedimethylamino-4-oxoanhydrotetracycline + NADP+ + H2O // 6-methylpretetramide + NADPH + dioxygen + H+  ->  4-hydroxy-6-methylpretetramide + NADP+ + H2O"	PWY-7812	tetracycline and oxytetracycline biosynthesis
fatty acid &beta;-oxidation I (generic)	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Entamoebidae // Metazoa // Bacteria <bacteria>	Escherichia coli // Homo sapiens	"a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA  <-->  a (2E)-2-enoyl-CoA + H2O // a (3Z)-alk-3-enoyl-CoA  <-->  a (2E)-2-enoyl-CoA // a 2,3,4-saturated fatty acyl CoA + an oxidized electron-transfer flavoprotein + H+  ->  a (2E)-2-enoyl-CoA + a reduced electron-transfer flavoprotein // 2,3,4-saturated fatty acyl-CoA synthetase // a 2,3,4-saturated (3R)-3-hydroxyacyl-CoA  <-->  a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA // a 2,3,4-saturated fatty acyl CoA + acetyl-CoA  <-  a 2,3,4-saturated 3-oxoacyl-CoA + coenzyme A // a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA + NAD+  <-->  a 2,3,4-saturated 3-oxoacyl-CoA + NADH + H+"	FAO-PWY	fatty acid beta-oxidation I (generic)
superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	Superpathways // Fatty Acid and Lipid Biosynthesis	Superpathways // Unsaturated Fatty Acid Biosynthesis	Bacteria <bacteria>	Escherichia coli	<i>cis</i>-vaccenate biosynthesis // palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate) // (5Z)-dodecenoate biosynthesis I	PWY-6284	superpathway of unsaturated fatty acids biosynthesis (E. coli)
alazopeptin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Kitasatospora azatica // Streptacidiphilus griseoplanus	ATP + L-alanine + 6-diazo-5-oxo-L-norleucyl-6-diazo-5-oxo-L-norleucine  ->  alazopeptin + AMP + diphosphate + H+ // 6-diazo-5-oxo-L-norleucine + a 6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein]  ->  6-diazo-5-oxo-L-norleucyl-6-diazo-5-oxo-L-norleucine + a holo-[6-diazo-5-oxo-L-norleucine-carrier protein] + H+ // an N-acetyl-6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein] + H2O  ->  a 6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein] + acetate // ATP + N-acetyl-6-diazo-5-oxo-L-norleucine + a holo-[6-diazo-5-oxo-L-norleucine-carrier protein]  ->  an N-acetyl-6-diazo-5-oxo-L-norleucyl-[6-diazo-5-oxo-L-norleucine-carrier protein] + AMP + diphosphate // acetyl-CoA + 6-diazo-5-oxo-L-norleucine  ->  N-acetyl-6-diazo-5-oxo-L-norleucine + coenzyme A + H+	PWY-8293	alazopeptin biosynthesis
5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Moorella thermoacetica	beta-nicotinate D-ribonucleotide + 5-methoxybenzimidazole  ->  5-methoxybenzimidazole ribotide phosphate + nicotinate + H+ // adenosylcobinamide-GDP + 5-methoxybenzimidazole ribotide phosphate  ->  Coalpha-[alpha-(5-methoxybenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // Coalpha-[alpha-(5-methoxybenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(5-methoxybenzimidazolyl)]-Cobeta-adenosylcobamide + phosphate	PWY-7967	5-methoxybenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
valproate &beta;-oxidation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Metazoa	Homo sapiens	propanoyl-CoA + acetyl-CoA  <-->  3-oxopentanoyl-CoA + coenzyme A // (3S)-3-hydroxypentanoyl-CoA + NAD+  ->  3-oxopentanoyl-CoA + NADH + H+ // (2E)-pent-2-enoyl-CoA + H2O  ->  (3S)-3-hydroxypentanoyl-CoA // pentanoyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  (2E)-pent-2-enoyl-CoA + a reduced electron-transfer flavoprotein // valproate + ATP + coenzyme A  ->  valproyl-CoA + AMP + diphosphate // valproyl-CoA + an oxidized electron-transfer flavoprotein + H+  ->  (2E)-2-propylpent-2-enoyl-CoA + a reduced electron-transfer flavoprotein // (3S)-3-hydroxy-2-propylpentanoyl-CoA  <-->  (2E)-2-propylpent-2-enoyl-CoA + H2O // (3S)-3-hydroxy-2-propylpentanoyl-CoA + NAD+  ->  3-oxo-2-propylpentanoyl-CoA + NADH + H+ // pentanoyl-CoA + propanoyl-CoA  <-  3-oxo-2-propylpentanoyl-CoA + coenzyme A	PWY-8182	valproate beta-oxidation
"10,13-epoxy-11-methyl-octadecadienoate biosynthesis"	Fatty Acid and Lipid Biosynthesis	Branched Fatty Acid Biosynthesis // Unsaturated Fatty Acid Biosynthesis	Bacteria <bacteria>	Cereibacter sphaeroides	"S-adenosyl-L-methionine + a [glycerolipid]-vaccenate  ->  a [glycerolipid]-(E)-11-methyl-12-octadec-12-enoate + S-adenosyl-L-homocysteine + H+ // a [glycerolipid]-(E)-11-methyl-12-octadec-12-enoate + an oxidized electron carrier + dioxygen  ->  a [glycerolipid]-10,13-epoxy-11-methyl-octadecadienoate + a reduced two electron carrier + H2O"	PWY-7691	"10,13-epoxy-11-methyl-octadecadienoate biosynthesis"
pyruvate fermentation to acetate IV	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Superpathways	Bacteria <bacteria>	Enterococcus faecalis // Streptococcus // Escherichia coli	acetate and ATP formation from acetyl-CoA I // ATP + acetate  <-->  ADP + acetyl phosphate // acetyl-CoA + phosphate  <-->  acetyl phosphate + coenzyme A // formate + acetyl-CoA  <-->  pyruvate + coenzyme A	PWY-5485	pyruvate fermentation to acetate IV
"superpathway of penicillin, cephalosporin and cephamycin biosynthesis"	Superpathways // Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis // Superpathways	Fungi // Bacteria <bacteria>	Acremonium chrysogenum // Amycolatopsis lactamdurans // Aspergillus nidulans // Penicillium chrysogenum // Streptomyces clavuligerus	cephamycin C biosynthesis // cephalosporin C biosynthesis // deacetylcephalosporin C biosynthesis // penicillin K biosynthesis // isopenicillin N biosynthesis	PWY-5634	"superpathway of penicillin, cephalosporin and cephamycin biosynthesis"
benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Veillonella parvula	beta-nicotinate D-ribonucleotide + benzimidazole  ->  benzimidazole ribotide phosphate + nicotinate + H+ // adenosylcobinamide-GDP + benzimidazole ribotide phosphate  ->  Coalpha-[alpha-(benzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+ // Coalpha-[alpha-(benzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(benzimidazolyl)]-Cobeta-adenosylcobamide + phosphate	PWY-7970	benzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
fatty acid &beta;-oxidation II (plant peroxisome)	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Viridiplantae	Cucumis sativus // Arabidopsis thaliana	"a 2,3,4-saturated fatty acyl CoA + dioxygen  ->  a (2E)-2-enoyl-CoA + hydrogen peroxide // a 2,3,4-saturated fatty acyl CoA + acetyl-CoA  <-  a 2,3,4-saturated 3-oxoacyl-CoA + coenzyme A // a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA + NAD+  <-->  a 2,3,4-saturated 3-oxoacyl-CoA + NADH + H+ // a 2,3,4-saturated (3S)-3-hydroxyacyl-CoA  <-->  a (2E)-2-enoyl-CoA + H2O // 2,3,4-saturated fatty acyl-CoA synthetase"	PWY-5136	fatty acid beta-oxidation II (plant peroxisome)
(5<i>Z</i>)-icosenoate biosynthesis	Fatty Acid and Lipid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Magnoliopsida	Limnanthes douglasii // Limnanthes alba	arachidoyl-CoA + 2 a ferrocytochrome b5 + dioxygen + 2 H+  ->  (5Z)-icosenoyl-CoA + 2 a ferricytochrome b5 + 2 H2O	PWY-5361	(5Z)-icosenoate biosynthesis
rebeccamycin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Actinobacteria	Lentzea aerocolonigenes	"3,4-bis(7-chloro-1H-indol-3-yl)-2,5-diiminohexanedioate + H+  ->  dichlorochromopyrrolate + ammonium // 2 3-(7-chloroindol-3-yl)-2-iminopropanoate + hydrogen peroxide  ->  3,4-bis(7-chloro-1H-indol-3-yl)-2,5-diiminohexanedioate + 2 H2O // L-tryptophan + chloride + FADH2 + dioxygen  ->  7-chloro-L-tryptophan + FAD + 2 H2O // 7-chloro-L-tryptophan + dioxygen  ->  3-(7-chloroindol-3-yl)-2-iminopropanoate + hydrogen peroxide + H+ // dichlorochromopyrrolate + 4 NADH + 4 dioxygen + 6 H+  ->  dichloro-arcyriaflavin A + 2 CO2 + 4 NAD+ + 6 H2O // dichloro-arcyriaflavin A + D-glucopyranose  ->  4'-O-demethylrebeccamycin + H2O // S-adenosyl-L-methionine + 4'-O-demethylrebeccamycin  ->  rebeccamycin + S-adenosyl-L-homocysteine + H+"	PWY-6324	rebeccamycin biosynthesis
4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Sporomusa ovata // Veillonella parvula	beta-nicotinate D-ribonucleotide + 4-methylphenol  ->  nicotinate + 4-methylphenyl ribotide phosphate + H+ // 4-methylphenyl-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  4-methylphenyl-Cobeta-adenosylcobamide + phosphate // adenosylcobinamide-GDP + 4-methylphenyl ribotide phosphate  ->  4-methylphenyl-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+	PWY-7963	4-methylphenyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
3-methyl-branched fatty acid &alpha;-oxidation	Fatty Acid and Lipid Degradation	Fatty Acid Degradation	Metazoa	Homo sapiens // Rattus norvegicus	"a 2-methyl branched 2,3,4-saturated fatty acid + ATP + coenzyme A  ->  a 2-methyl branched 2,3,4-saturated fatty acyl-CoA + AMP + diphosphate // fatty aldehyde dehydrogenase // 2-hydroxy-3-methyl-branched fatty acyl-CoA lyase // formyl-CoA + H2O  ->  formate + coenzyme A + H+ // 3-methyl-branched fatty acyl-CoA 2-hydroxylase // 3-methyl-branched fatty acyl-CoA ligase"	PWY66-387	3-methyl-branched fatty acid alpha-oxidation
<i>cis</i>-vaccenate biosynthesis	Fatty Acid and Lipid Biosynthesis	Unsaturated Fatty Acid Biosynthesis	Bacteria <bacteria> // Magnoliopsida	Asclepias syriaca // Dolichandra unguis-cati // Escherichia coli	"a cis-vaccenoyl-[acp] + NAD+  <-  a (2E,11Z)-octadeca-2,11-dienoyl-[acp] + NADH + H+ // 3-hydroxy-cis-vaccenoyl-[acyl-carrier protein] dehydratase // 3-oxo-<i>cis</i>-vaccenoyl-[acyl-carrier protein] reductase // a palmitoleoyl-[acp] + a malonyl-[acp] + H+  ->  an (11Z)-3-oxooctadec-11-enoyl-[acp] + CO2 + acyl-carrier protein // a cis-vaccenoyl-[acp][periplasm] + H2O[periplasm]  ->  cis-vaccenate[periplasm] + acyl-carrier protein[periplasm] + H+[periplasm]"	PWY-5973	cis-vaccenate biosynthesis
pyruvate fermentation to acetate VII	Generation of Precursor Metabolites and Energy // Superpathways // Carboxylate Degradation	Pyruvate Fermentation to Acetate // Superpathways	Eukaryota	Chlamydomonas reinhardtii // Dasytricha ruminantium	acetate and ATP formation from acetyl-CoA I // pyruvate + 2 an oxidized ferredoxin [iron-sulfur] cluster + coenzyme A  <-->  acetyl-CoA + CO2 + 2 a reduced ferredoxin [iron-sulfur] cluster + H+	PWY-5600	pyruvate fermentation to acetate VII
paromomycin biosynthesis	Secondary Metabolite Biosynthesis	Antibiotic Biosynthesis	Bacteria <bacteria>	Streptomyces chrestomyceticus // Streptomyces lividus	paromomycin + 2-oxoglutarate  <-->  6'''-oxoparomomycin + L-glutamate // 6'''-hydroxyparomomycin + dioxygen  ->  6'''-oxoparomomycin + hydrogen peroxide // 2'''-acetyl-6'''-hydroxyparomomycin + H2O  ->  6'''-hydroxyparomomycin + acetate // UDP-N-acetyl-alpha-D-glucosamine + 5-ribosylparomamine  ->  2'''-acetyl-6'''-hydroxyparomomycin + UDP + H+ // 5''-phosphoribosylparomamine + H2O  ->  5-ribosylparomamine + phosphate // paromamine + 5-phospho-alpha-D-ribose 1-diphosphate  ->  5''-phosphoribosylparomamine + diphosphate	PWY-7018	paromomycin biosynthesis
5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP	"Cofactor, Carrier, and Vitamin Biosynthesis"	Adenosylcobamide Biosynthesis	Bacteria <bacteria>	Clostridium formicaceticum	Coalpha-[alpha-(5-methoxy-6-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + H2O  ->  Coalpha-[alpha-(5-methoxy-6-methyl-benzimidazolyl)]-Cobeta-adenosylcobamide + phosphate // beta-nicotinate D-ribonucleotide + 5-methoxy-6-methylbenzimidazole  ->  5-methoxy-6-methylbenzimidazole ribotide phosphate + nicotinate + H+ // adenosylcobinamide-GDP + 5-methoxy-6-methylbenzimidazole ribotide phosphate  ->  Coalpha-[alpha-(5-methoxy-6-methylbenzimidazolyl)]-Cobeta-adenosylcobamide 5'-phosphate + GMP + H+	PWY-7966	5-methoxy-6-methylbenzimidazolyl adenosylcobamide biosynthesis from adenosylcobinamide-GDP
