"","X1","X2"
"447","PWY-1801","formaldehyde oxidation II (glutathione-dependent)"
"448","PWY-181","photorespiration"
"449","PWY-1822","indole-3-acetate activation I"
"450","PWY-1861","formaldehyde assimilation II (RuMP Cycle)"
"451","PWY-1881","formate oxidation to CO2"
"452","PWY-1882","superpathway of C1 compounds oxidation to CO2"
"453","PWY-1901","aurone biosynthesis"
"454","PWY-1921","indole-3-acetate activation II"
"455","PWY-1961","indole-3-acetate degradation I"
"456","PWY-1962","indole-3-acetate degradation II"
"457","PWY-1981","indole-3-acetate degradation III"
"458","PWY1A0-6325","actinorhodin biosynthesis"
"459","PWY1F-353","glycine betaine biosynthesis III (plants)"
"460","PWY1F-467","phenylpropanoid biosynthesis, initial reactions"
"461","PWY1F-823","leucopelargonidin and leucocyanidin biosynthesis"
"462","PWY1F-FLAVSYN","flavonoid biosynthesis"
"463","PWY1G-0","mycothiol biosynthesis"
"464","PWY1G-126","mycothiol oxidation"
"465","PWY1G-170","formaldehyde oxidation III (mycothiol-dependent)"
"466","PWY1G-1","mycothiol-mediated detoxification"
"467","PWY-1","lathyrine biosynthesis"
"468","PWY-2002","isoflavonoid biosynthesis I"
"469","PWY-2021","indole-3-acetate degradation IV"
"470","PWY-2055","superpathway of pterocarpan biosynthesis (via daidzein)"
"471","PWY-2083","isoflavonoid biosynthesis II"
"472","PWY-2161B","glutamate removal from folates"
"473","PWY-2161","folate polyglutamylation"
"474","PWY-2181","free phenylpropanoid acid biosynthesis"
"475","PWY-2201","folate transformations I"
"476","PWY-2221","Entner-Doudoroff pathway III (semi-phosphorylative)"
"477","PWY-2229","superpathway of pterocarpan biosynthesis (via formononetin)"
"478","PWY-2242","ammonia oxidation III"
"479","PWY-2261","ascorbate glutathione cycle"
"480","PWY-2301","myo-inositol biosynthesis"
"481","PWY-2321","formononetin biosynthesis"
"482","PWY-2343","daidzein conjugates interconversion"
"483","PWY-2345","genistein conjugates interconversion"
"484","PWY-2361","3-oxoadipate degradation"
"485","PWY-2381","4-nitrobenzoate degradation"
"486","PWY-241","C4 photosynthetic carbon assimilation cycle, NADP-ME type"
"487","PWY-2421","indole-3-acetate degradation VIII (bacterial)"
"488","PWY-2463","medicarpin biosynthesis"
"489","PWY-2464","maackiain biosynthesis"
"490","PWY-2467","pisatin biosynthesis"
"491","PWY-2501","fatty acid &alpha;-oxidation I"
"492","PWY-2503","benzoate degradation I (aerobic)"
"493","PWY-2504","superpathway of aromatic compound degradation via 3-oxoadipate"
"494","PWY-2541","plant sterol biosynthesis"
"495","PWY-2561","medicarpin conjugates interconversion"
"496","PWY-2582","brassinosteroid biosynthesis II"
"497","PWY-2601","isethionate degradation"
"498","PWY-2622","trehalose biosynthesis IV"
"499","PWY-2661","trehalose biosynthesis V"
"500","PWY-2681","trans-zeatin biosynthesis"
"501","PWY-2701","maackiain conjugates interconversion"
"502","PWY-2721","trehalose degradation III"
"503","PWY-2722","trehalose degradation IV"
"504","PWY-2723","trehalose degradation V"
"505","PWY-2724","alkane oxidation"
"506","PWY-2761","glyceollin biosynthesis I"
"507","PWY-2762","glyceollin biosynthesis II"
"508","PWY-2781","cis-zeatin biosynthesis"
"509","PWY-2821","glucosinolate biosynthesis from phenylalanine"
"510","PWY-282","cuticular wax biosynthesis"
"511","PWY-283","benzoate degradation II (aerobic and anaerobic)"
"512","PWY-2841","cytokinins degradation"
"513","PWY-2861","biochanin A conjugates interconversion"
"514","PWY-2881","cytokinins 7-N-glucoside biosynthesis"
"515","PWY-2901","cytokinins 9-N-glucoside biosynthesis"
"516","PWY-2902","cytokinin-O-glucosides biosynthesis"
"517","PWY-2904","formononetin conjugates interconversion"
"518","PWY-2921","capsidiol biosynthesis"
"519","PWY-2941","L-lysine biosynthesis II"
"520","PWY-2942","L-lysine biosynthesis III"
"521","PWY-2961","sesquiterpenoid phytoalexins biosynthesis"
"522","PWY-2981","diterpene phytoalexins precursors biosynthesis"
"523","PWY2OL-4","superpathway of linalool biosynthesis"
"524","PWY-2","putrescine degradation IV"
"525","PWY-3001","superpathway of L-isoleucine biosynthesis I"
"526","PWY-301","cyclohexane-1-carboxylate degradation (anaerobic)"
"527","PWY-3022","linamarin biosynthesis"
"528","PWY-3041","monoterpene biosynthesis"
"529","PWY-3042","phaseollin biosynthesis"
"530","PWY-3061","menthol biosynthesis"
"531","PWY-3081","L-lysine biosynthesis V"
"532","PWY-3097","superpathway of isoflavonoids (via naringenin)"
"533","PWY-3101","flavonol biosynthesis"
"534","PWY-3121","linamarin degradation"
"535","PWY-3161","indole-3-acetate biosynthesis III (bacteria)"
"536","PWY-3162","L-tryptophan degradation V (side chain pathway)"
"537","PWY-3181","L-tryptophan degradation VI (via tryptamine)"
"538","PWY-31","canavanine degradation"
"539","PWY-321","cutin biosynthesis"
"540","PWY-3221","dTDP-L-rhamnose biosynthesis II"
"541","PWY-3261","UDP-L-rhamnose biosynthesis"
"542","PWY-3282","superpathway of ammonia assimilation (plants)"
"543","PWY-3301","sinapate ester biosynthesis"
"544","PWY-3341","L-proline biosynthesis III"
"545","PWY-3385","choline biosynthesis I"
"546","PWY-3461","L-tyrosine biosynthesis II"
"547","PWY-3462","L-phenylalanine biosynthesis II"
"548","PWY-3481","superpathway of L-phenylalanine and L-tyrosine biosynthesis"
"549","PWY-3502","superpathway of NAD biosynthesis in eukaryotes"
"550","PWY-3542","choline biosynthesis II"
"551","PWY-3561","choline biosynthesis III"
"552","PWY-3581","(S)-reticuline biosynthesis I"
"553","PWY-3602","L-carnitine degradation II"
"554","PWY-361","phenylpropanoid biosynthesis"
"555","PWY-3621","&gamma;-butyrobetaine degradation"
"556","PWY-3641","L-carnitine degradation III"
"557","PWY-3661-1","glycine betaine degradation II (mammalian)"
"558","PWY-3661","glycine betaine degradation I"
"559","PWY-3721","choline degradation II"
"560","PWY-3722","glycine betaine biosynthesis II (Gram-positive bacteria)"
"561","PWY-3781","aerobic respiration I (cytochrome c)"
"562","PWY-3801","sucrose degradation II (sucrose synthase)"
"563","PWY-381","nitrate reduction II (assimilatory)"
"564","PWY-3821","galactose degradation III"
"565","PWY-3841","folate transformations II"
"566","PWY-3861","mannitol degradation II"
"567","PWY-3881","mannitol biosynthesis"
"568","PWY-3901","berberine biosynthesis"
"569","PWY-3941","&beta;-alanine biosynthesis II"
"570","PWY-3961","phosphopantothenate biosynthesis II"
"571","PWY-3981","&beta;-alanine biosynthesis I"
"572","PWY-3982","uracil degradation I (reductive)"
"573","PWY3DJ-11281","sphingomyelin metabolism"
"574","PWY3DJ-11470","sphingosine and sphingosine-1-phosphate metabolism"
"575","PWY3DJ-12","ceramide de novo biosynthesis"
"576","PWY3DJ-35471","L-ascorbate biosynthesis IV"
"577","PWY3O-1109","superpathway of 4-hydroxybenzoate biosynthesis (yeast)"
"578","PWY3O-19","ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)"
"579","PWY3O-246","(R,R)-butanediol degradation"
"580","PWY3O-355","stearate biosynthesis III (fungi)"
"581","PWY3O-4106","NAD salvage pathway III"
"582","PWY3O-4108","L-tyrosine degradation III"
"583","PWY3O-440","acetoin biosynthesis III"
"584","PWY3O-450","phosphatidylcholine biosynthesis I"
"585","PWY3O-6","dehydro-D-arabinono-1,4-lactone biosynthesis"
"586","PWY-3","putrescine degradation V"
"587","PWY-4002","L-asparagine degradation II"
"588","PWY-401","galactolipid biosynthesis I"
"589","PWY-4021","&beta;-alanine betaine biosynthesis"
"590","PWY-4041","&gamma;-glutamyl cycle"
"591","PWY-4061","glutathione-mediated detoxification I"
"592","PWY-4081","glutathione redox reactions I"
"593","PWY-40","putrescine biosynthesis I"
"594","PWY-4101","D-sorbitol degradation I"
"595","PWY-4121","glutathionylspermidine biosynthesis"
"596","PWY-4161","superpathway of benzoxazinoid glucosides biosynthesis"
"597","PWY-4181","glutathione amide metabolism"
"598","PWY-4201","volatile cinnamoic ester biosynthesis"
"599","PWY-4202","arsenate detoxification I (glutaredoxin)"
"600","PWY-4203","volatile benzenoid biosynthesis I (ester formation)"
"601","PWY-4221","pantothenate and coenzyme A biosynthesis II (plants)"
"602","PWY-4261","glycerol degradation I"
"603","PWY-4281","L-proline biosynthesis IV"
"604","PWY-4302","aerobic respiration III (alternative oxidase pathway)"
"605","PWY-4321","L-glutamate degradation IV"
"606","PWY-4341","L-glutamate biosynthesis V"
"607","PWY-4361","S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation"
"608","PWY-4381","fatty acid biosynthesis initiation I"
"609","PWY-43","putrescine biosynthesis II"
"610","PWY-4421","curcumin glucoside biosynthesis"
"611","PWY-4441","DIMBOA-glucoside activation"
"612","PWY-4502","wighteone and luteone biosynthesis"
"613","PWY-4521","arsenite oxidation I (respiratory)"
"614","PWY-4601","arsenate reduction (respiratory)"
"615","PWY-4621","arsenate detoxification II (glutaredoxin)"
"616","PWY-4661","1D-myo-inositol hexakisphosphate biosynthesis III (Spirodela polyrrhiza)"
"617","PWY-4681","kievitone biosynthesis"
"618","PWY-46","putrescine biosynthesis III"
"619","PWY-4702","phytate degradation I"
"620","PWY-4722","creatinine degradation II"
"621","PWY-4741","creatinine degradation III"
"622","PWY-4762","superpathway of choline biosynthesis"
"623","PWY-4781","phytate degradation II"
"624","PWY-4801","aloesone biosynthesis I"
"625","PWY-481","ethylbenzene degradation (anaerobic)"
"626","PWY-4821","UDP-D-xylose biosynthesis"
"627","PWY-4841","UDP-&alpha;-D-glucuronate biosynthesis (from myo-inositol)"
"628","PWY-4861","UDP-D-galacturonate biosynthesis I (from UDP-D-glucuronate)"
"629","PWY490-3","nitrate reduction VI (assimilatory)"
"630","PWY490-4","L-asparagine biosynthesis III (tRNA-dependent)"
"631","PWY-4921","protein citrullination"
"632","PWY-4922","6-methoxymellein biosynthesis"
"633","PWY-4942","sterculate biosynthesis"
"634","PWY-4961","&beta;-pyrazole-1-ylalanine biosynthesis"
"635","PWY-4981","L-proline biosynthesis II (from arginine)"
"636","PWY-4983","L-citrulline-nitric oxide cycle"
"637","PWY-4984","urea cycle"
"638","PWY-4985","mimosine biosynthesis"
"639","PWY4FS-11","L-ascorbate biosynthesis II (L-gulose pathway)"
"640","PWY4FS-12","VTC2 cycle"
"641","PWY4FS-13","extended VTC2 cycle"
"642","PWY4FS-17","abscisic acid biosynthesis shunt"
"643","PWY4FS-2","phosphatidylcholine biosynthesis II"
"644","PWY4FS-3","phosphatidylcholine biosynthesis III"
"645","PWY4FS-4","phosphatidylcholine biosynthesis IV"
"646","PWY4FS-5","superpathway of phosphatidylcholine biosynthesis"
"647","PWY4FS-6","phosphatidylethanolamine biosynthesis II"
"648","PWY4FS-7","phosphatidylglycerol biosynthesis I (plastidic)"
"649","PWY4FS-8","phosphatidylglycerol biosynthesis II (non-plastidic)"
"650","PWY4LZ-257","superpathway of fermentation (Chlamydomonas reinhardtii)"
"651","PWY-4","UDP-D-galacturonate biosynthesis II (from D-galacturonate)"
"652","PWY-5001","tetrahydroxyxanthone biosynthesis (from benzoate)"
"653","PWY-5002","tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)"
"654","PWY-5004","superpathway of L-citrulline metabolism"
"655","PWY-5005","biotin biosynthesis II"
"656","PWY-5021","willardiine and isowillardiine biosynthesis"
"657","PWY-5022","4-aminobutanoate degradation V"
"658","PWY-5024","L-arginine degradation XI"
"659","PWY-5025","indole-3-acetate biosynthesis IV (bacteria)"
"660","PWY-5026","indole-3-acetate biosynthesis V (bacteria and fungi)"
"661","PWY-5027","phylloquinol biosynthesis"
"662","PWY-5028","L-histidine degradation II"
"663","PWY-5029","imidazole-lactate degradation"
"664","PWY-5030","L-histidine degradation III"
"665","PWY-5031","L-histidine degradation V"
"666","PWY-5032","ent-kaurene biosynthesis I"
"667","PWY-5033","nicotinate degradation II"
"668","PWY-5034","GA12 biosynthesis"
"669","PWY-5035","gibberellin biosynthesis III (early C-13 hydroxylation)"
"670","PWY-5036","gibberellin biosynthesis II (early C-3 hydroxylation)"
"671","PWY-5037","caffeine biosynthesis I"
"672","PWY-5038","caffeine biosynthesis II (via paraxanthine)"
"673","PWY-5039","theobromine biosynthesis I"
"674","PWY-5040","theobromine biosynthesis II (via xanthine)"
"675","PWY-5041","S-adenosyl-L-methionine cycle II"
"676","PWY-5044","purine nucleotides degradation I (plants)"
"677","PWY-5045","pinosylvin metabolism"
"678","PWY-5046","2-oxoisovalerate decarboxylation to isobutanoyl-CoA"
"679","PWY-5047","gibberellin biosynthesis IV (Gibberella fujikuroi)"
"680","PWY-5048","rosmarinic acid biosynthesis I"
"681","PWY-5049","rosmarinic acid biosynthesis II"
"682","PWY-5052","superpathway of gibberellin biosynthesis"
"683","PWY-5053","superpathway of gibberellin GA12 biosynthesis"
"684","PWY-5054","sorbitol biosynthesis I"
"685","PWY-5055","nicotinate degradation III"
"686","PWY-5057","L-valine degradation II"
"687","PWY-5059","pinobanksin biosynthesis"
"688","PWY-5060","luteolin biosynthesis"
"689","PWY-5061","6,7,4'-trihydroxyisoflavone biosynthesis"
"690","PWY-5062","superpathway of nicotinate degradation"
"691","PWY-5063","phytyl diphosphate biosynthesis"
"692","PWY-5064","chlorophyll a biosynthesis II"
"693","PWY-5067","glycogen biosynthesis II (from UDP-D-Glucose)"
"694","PWY-5068","chlorophyll cycle"
"695","PWY-5070","gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)"
"696","PWY-5071","superpathway of rosmarinic acid biosynthesis"
"697","PWY-5074","mevalonate degradation"
"698","PWY-5075","L-leucine degradation II"
"699","PWY-5076","L-leucine degradation III"
"700","PWY-5078","L-isoleucine degradation II"
"701","PWY-5079","L-phenylalanine degradation III"
"702","PWY-5080","very long chain fatty acid biosynthesis I"
"703","PWY-5081","L-tryptophan degradation VIII (to tryptophol)"
"704","PWY-5082","L-methionine degradation III"
"705","PWY-5083","NAD/NADH phosphorylation and dephosphorylation"
"706","PWY-5084","2-oxoglutarate decarboxylation to succinyl-CoA"
"707","PWY-5086","chlorophyll a biosynthesis I"
"708","PWY-5087","L-glutamate degradation VI (to pyruvate)"
"709","PWY-5088","L-glutamate degradation VIII (to propanoate)"
"710","PWY-5094","naringenin glycoside biosynthesis"
"711","PWY-5096","pyruvate fermentation to acetate and alanine"
"712","PWY-5097","L-lysine biosynthesis VI"
"713","PWY-5098","chlorophyll a degradation I"
"714","PWY-5100","pyruvate fermentation to acetate and lactate II"
"715","PWY-5101","L-isoleucine biosynthesis II"
"716","PWY-5103","L-isoleucine biosynthesis III"
"717","PWY-5104","L-isoleucine biosynthesis IV"
"718","PWY-5105","hesperitin glycoside biosynthesis"
"719","PWY-5107","phytol salvage pathway"
"720","PWY-5108","L-isoleucine biosynthesis V"
"721","PWY-5109","2-methylbutanoate biosynthesis"
"722","PWY-5110","trigonelline biosynthesis"
"723","PWY-5113","UDP-D-apiose biosynthesis (from UDP-D-glucuronate)"
"724","PWY-5114","UDP-sugars interconversion"
"725","PWY-5115","GDP-L-galactose biosynthesis"
"726","PWY-5116","sakuranetin biosynthesis"
"727","PWY-5118","ponciretin biosynthesis"
"728","PWY-5119","acacetin biosynthesis"
"729","PWY-5120","geranylgeranyl diphosphate biosynthesis"
"730","PWY-5121","superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)"
"731","PWY-5122","geranyl diphosphate biosynthesis"
"732","PWY-5123","trans, trans-farnesyl diphosphate biosynthesis"
"733","PWY-5125","anthocyanin biosynthesis (cyanidin 3-O-glucoside)"
"734","PWY-5129","sphingolipid biosynthesis (plants)"
"735","PWY-5130","2-oxobutanoate degradation I"
"736","PWY-5132","humulone biosynthesis"
"737","PWY-5133","cohumulone biosynthesis"
"738","PWY-5134","bitter acids biosynthesis"
"739","PWY-5135","xanthohumol biosynthesis"
"740","PWY-5136","fatty acid &beta;-oxidation II (peroxisome)"
"741","PWY-5137","fatty acid &beta;-oxidation III (unsaturated, odd number)"
"742","PWY-5138","unsaturated, even numbered fatty acid &beta;-oxidation"
"743","PWY-5139","pelargonidin conjugates biosynthesis"
"744","PWY-5140","cannabinoid biosynthesis"
"745","PWY-5142","acyl-ACP thioesterase pathway"
"746","PWY-5143","long-chain fatty acid activation"
"747","PWY-5147","oleate biosynthesis I (plants)"
"748","PWY-5148","acyl-CoA hydrolysis"
"749","PWY-5151","L-tyrosine degradation II"
"750","PWY-5152","leucodelphinidin biosynthesis"
"751","PWY-5153","anthocyanin biosynthesis (delphinidin 3-O-glucoside)"
"752","PWY-5154","L-arginine biosynthesis III (via N-acetyl-L-citrulline)"
"753","PWY-5155","&beta;-alanine biosynthesis III"
"754","PWY-5156","superpathway of fatty acid biosynthesis II (plant)"
"755","PWY-5159","trans-4-hydroxy-L-proline degradation II"
"756","PWY-5160","rose anthocyanin biosynthesis I (via cyanidin 5-O-&beta;-D-glucoside)"
"757","PWY-5161","6'-deoxychalcone metabolism"
"758","PWY-5162","2-oxopentenoate degradation"
"759","PWY-5163","p-cumate degradation to 2-oxopent-4-enoate"
"760","PWY-5165","4-toluenesulfonate degradation II"
"761","PWY-5168","ferulate and sinapate biosynthesis"
"762","PWY-5169","cyanurate degradation"
"763","PWY-5170","melamine degradation"
"764","PWY-5171","N-cyclopropylmelamine degradation"
"765","PWY-5172","acetyl-CoA biosynthesis III (from citrate)"
"766","PWY-5173","superpathway of acetyl-CoA biosynthesis"
"767","PWY-5174","capsanthin and capsorubin biosynthesis"
"768","PWY-5175","lactucaxanthin biosynthesis"
"769","PWY-5176","coumarin biosynthesis (via 2-coumarate)"
"770","PWY-5177","glutaryl-CoA degradation"
"771","PWY-5178","toluene degradation IV (aerobic) (via catechol)"
"772","PWY-5179","toluene degradation V (aerobic) (via toluene-cis-diol)"
"773","PWY-5180","toluene degradation I (aerobic) (via o-cresol)"
"774","PWY-5181","toluene degradation III (aerobic) (via p-cresol)"
"775","PWY-5182","toluene degradation II (aerobic) (via 4-methylcatechol)"
"776","PWY-5183","superpathway of aerobic toluene degradation"
"777","PWY-5184","toluene degradation VI (anaerobic)"
"778","PWY-5188","tetrapyrrole biosynthesis I (from glutamate)"
"779","PWY-5189","tetrapyrrole biosynthesis II (from glycine)"
"780","PWY-5194","siroheme biosynthesis"
"781","PWY-5195","artemisinin biosynthesis"
"782","PWY-5196","factor 430 biosynthesis"
"783","PWY-5197","lactate biosynthesis (archaea)"
"784","PWY-5198","factor 420 biosynthesis"
"785","PWY-5199","factor 420 polyglutamylation"
"786","PWY-5203","soybean saponin I biosynthesis"
"787","PWY-5207","coenzyme B/coenzyme M regeneration"
"788","PWY-5209","methyl-coenzyme M oxidation to CO2"
"789","PWY-5247","methanogenesis from methylamine"
"790","PWY-5248","methanogenesis from dimethylamine"
"791","PWY-5250","methanogenesis from trimethylamine"
"792","PWY-5254","methanofuran biosynthesis"
"793","PWY-5257","superpathway of pentose and pentitol degradation"
"794","PWY-5258","methanogenesis from dimethylsulfide"
"795","PWY-5259","methanogenesis from methanethiol"
"796","PWY-5260","methanogenesis from methylthiopropanoate"
"797","PWY-5261","methanogenesis from tetramethylammonium"
"798","PWY-5265","peptidoglycan biosynthesis II (staphylococci)"
"799","PWY-5266","p-cymene degradation"
"800","PWY-5267","glucosinolate breakdown"
"801","PWY-5268","salvianin biosynthesis"
"802","PWY-5269","cardiolipin biosynthesis II"
"803","PWY-5270","morphine biosynthesis"
"804","PWY-5271","phaseic acid biosynthesis"
"805","PWY-5272","abscisic acid glucose ester metabolism"
"806","PWY-5273","p-cumate degradation"
"807","PWY-5274","sulfide oxidation II (sulfide dehydrogenase)"
"808","PWY-5276","sulfite oxidation I (sulfite oxidoreductase)"
"809","PWY-5277","thiosulfate disproportionation I (thiol-dependent)"
"810","PWY-5278","sulfite oxidation III"
"811","PWY-5279","sulfite oxidation II"
"812","PWY-5280","L-lysine degradation IV"
"813","PWY-5283","L-lysine degradation V"
"814","PWY-5284","shisonin biosynthesis"
"815","PWY-5285","sulfide oxidation III (sulfur dioxygenase)"
"816","PWY-5286","anthocyanidin sophoroside metabolism"
"817","PWY-5287","sanguinarine and macarpine biosynthesis"
"818","PWY-5288","astaxanthin biosynthesis (bacteria, fungi, algae)"
"819","PWY-5290","secologanin and strictosidine biosynthesis"
"820","PWY-5291","canthaxanthin biosynthesis"
"821","PWY-5292","vindoline and vinblastine biosynthesis"
"822","PWY-5294","superpathway of sulfide oxidation (Acidithiobacillus ferrooxidans)"
"823","PWY-5295","ternatin C5 biosynthesis"
"824","PWY-5296","thiosulfate oxidation III (multienzyme complex)"
"825","PWY-5297","siroheme amide biosynthesis"
"826","PWY-5298","L-lysine degradation VI"
"827","PWY-5301","ajmaline and sarpagine biosynthesis"
"828","PWY-5302","sulfur disproportionation II (aerobic)"
"829","PWY-5303","thiosulfate oxidation II (via tetrathionate)"
"830","PWY-5304","superpathway of sulfur oxidation (Acidianus ambivalens)"
"831","PWY-5305","bixin biosynthesis"
"832","PWY-5306","superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)"
"833","PWY-5307","gentiodelphin biosynthesis"
"834","PWY-5308","superpathway of sulfur metabolism (Desulfocapsa sulfoexigens)"
"835","PWY-5310","superpathway of anthocyanin biosynthesis (from delphinidin 3-O-glucoside)"
"836","PWY-5311","L-lysine degradation VII"
"837","PWY-5312","superpathway of anthocyanin biosynthesis (from pelargonidin 3-O-glucoside)"
"838","PWY-5313","superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-O-glucoside)"
"839","PWY-5314","L-lysine degradation VIII"
"840","PWY-5315","N-methyl-&Delta;1-pyrrolinium cation biosynthesis"
"841","PWY-5316","nicotine biosynthesis"
"842","PWY-5317","hyoscyamine and scopolamine biosynthesis"
"843","PWY-5318","calystegine biosynthesis"
"844","PWY-5319","coumarin metabolism (to melilotic acid)"
"845","PWY-5320","kaempferol glycoside biosynthesis (Arabidopsis)"
"846","PWY-5321","quercetin glycoside biosynthesis (Arabidopsis)"
"847","PWY-5324","L-lysine degradation IX"
"848","PWY-5326","sulfite oxidation IV"
"849","PWY-5327","superpathway of L-lysine degradation"
"850","PWY-5328","superpathway of L-methionine salvage and degradation"
"851","PWY-5329","L-cysteine degradation III"
"852","PWY-5331","taurine biosynthesis"
"853","PWY-5332","sulfur reduction I"
"854","PWY-5335","superpathway of sulfide oxidation (Starkeya novella)"
"855","PWY-5336","carbon disulfide oxidation II (aerobic)"
"856","PWY-5337","stachyose biosynthesis"
"857","PWY-5338","galactosylcyclitol biosynthesis"
"858","PWY-5339","chalcone 2'-O-glucoside biosynthesis"
"859","PWY-5340","sulfate activation for sulfonation"
"860","PWY-5342","ajugose biosynthesis I (galactinol-dependent)"
"861","PWY-5343","ajugose biosynthesis II (galactinol-independent)"
"862","PWY-5344","L-homocysteine biosynthesis"
"863","PWY-5345","superpathway of L-methionine biosynthesis (by sulfhydrylation)"
"864","PWY-5347","superpathway of L-methionine biosynthesis (transsulfuration)"
"865","PWY-5348","kaempferol triglucoside biosynthesis"
"866","PWY-5349","esculetin biosynthesis"
"867","PWY-5350","thiosulfate disproportionation III (rhodanese)"
"868","PWY-5352","thiosulfate disproportionation II (non thiol-dependent)"
"869","PWY-5353","arachidonate biosynthesis I (lower eukaryotes)"
"870","PWY-5355","nitroethane degradation"
"871","PWY-5358","tetrathionate reduction I (to thiosulfate)"
"872","PWY-5359","tetrathionate reductiuon II (to trithionate)"
"873","PWY-5360","superpathway of tetrathionate reduction (Salmonella typhimurium)"
"874","PWY-5361","(5Z)-icosenoate biosynthesis"
"875","PWY-5362","sapienate biosynthesis"
"876","PWY-5363","chrysin biosynthesis"
"877","PWY-5364","sulfur reduction II (via polysulfide)"
"878","PWY-5365","linear furanocoumarin biosynthesis"
"879","PWY-5366","palmitoleate biosynthesis II (plants and bacteria)"
"880","PWY-5367","petroselinate biosynthesis"
"881","PWY-5368","dimorphecolate biosynthesis"
"882","PWY-5370","carbon tetrachloride degradation I"
"883","PWY-5371","chrysophanol biosynthesis"
"884","PWY-5372","carbon tetrachloride degradation II"
"885","PWY-5373","calendate biosynthesis"
"886","PWY-5374","punicate biosynthesis"
"887","PWY-5375","&alpha;-eleostearate biosynthesis"
"888","PWY-5377","&alpha;-amyrin biosynthesis"
"889","PWY-5379","B series fagopyritols biosynthesis"
"890","PWY-5380","A series fagopyritols biosynthesis"
"891","PWY-5381","pyridine nucleotide cycling (plants)"
"892","PWY-5382","hydrogen oxidation II (aerobic, NAD)"
"893","PWY-5384","sucrose degradation IV (sucrose phosphorylase)"
"894","PWY-5386","methylglyoxal degradation I"
"895","PWY-5388","N-glucosylnicotinate metabolism"
"896","PWY-5389","3-methylthiopropanoate biosynthesis"
"897","PWY-5390","rutin biosynthesis"
"898","PWY-5391","syringetin biosynthesis"
"899","PWY-5392","reductive TCA cycle II"
"900","PWY-5393","raspberry ketone biosynthesis"
"901","PWY-5394","betalamic acid biosynthesis"
"902","PWY-5397","crocetin biosynthesis"
"903","PWY-5398","crocetin esters biosynthesis"
"904","PWY-5399","betacyanin biosynthesis"
"905","PWY-5400","amaranthin biosynthesis"
"906","PWY-5403","betaxanthin biosynthesis (via dopamine)"
"907","PWY-5404","betaxanthin biosynthesis (via dopaxanthin)"
"908","PWY-5405","superpathway of betalain biosynthesis"
"909","PWY-5406","divinyl ether biosynthesis I"
"910","PWY-5407","9-lipoxygenase and 9-allene oxide synthase pathway"
"911","PWY-5408","9-lipoxygenase and 9-hydroperoxide lyase pathway"
"912","PWY-5409","divinyl ether biosynthesis II"
"913","PWY-5410","traumatin and (Z)-3-hexen-1-yl acetate biosynthesis"
"914","PWY-5411","abietic acid biosynthesis"
"915","PWY-5412","levopimaric acid biosynthesis"
"916","PWY-5413","neoabietic acid biosynthesis"
"917","PWY-5414","palustric acid biosynthesis"
"918","PWY-5415","catechol degradation I (meta-cleavage pathway)"
"919","PWY-5416","superpathway of diterpene resin acids biosynthesis"
"920","PWY-5417","catechol degradation III (ortho-cleavage pathway)"
"921","PWY-5418","phenol degradation I (aerobic)"
"922","PWY-5419","catechol degradation to 2-oxopent-4-enoate II"
"923","PWY-5420","catechol degradation II (meta-cleavage pathway)"
"924","PWY-5421","dehydroabietic acid biosynthesis"
"925","PWY-5422","isopimaric acid biosynthesis"
"926","PWY-5423","oleoresin monoterpene volatiles biosynthesis"
"927","PWY-5424","superpathway of oleoresin turpentine biosynthesis"
"928","PWY-5425","oleoresin sesquiterpene volatiles biosynthesis"
"929","PWY-5426","betaxanthin biosynthesis"
"930","PWY-5427","naphthalene degradation (aerobic)"
"931","PWY-5428","m-xylene degradation to m-toluate"
"932","PWY-5429","p-xylene degradation to p-toluate"
"933","PWY-5430","meta cleavage pathway of aromatic compounds"
"934","PWY-5431","aromatic compounds degradation via &beta;-ketoadipate"
"935","PWY-5433","superpathway of lipoxygenase"
"936","PWY-5434","(3E)-4,8-dimethylnona-1,3,7-triene biosynthesis"
"937","PWY-5436","L-threonine degradation IV"
"938","PWY-5437","L-threonine degradation I"
"939","PWY-5439","betacyanin biosynthesis (via dopamine)"
"940","PWY-5441","S-methyl-L-methionine cycle"
"941","PWY-5443","aminopropanol phosphate biosynthesis I"
"942","PWY-5450","benzene degradation"
"943","PWY-5451","acetone degradation I (to methylglyoxal)"
"944","PWY-5453","methylglyoxal degradation III"
"945","PWY-5456","methylglyoxal degradation VII"
"946","PWY-5458","methylglyoxal degradation V"
"947","PWY-5459","methylglyoxal degradation IV"
"948","PWY-5461","betanidin degradation"
"949","PWY-5462","methylglyoxal degradation VIII"
"950","PWY-5464","superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle"
"951","PWY-5466","matairesinol biosynthesis"
"952","PWY-5467","gramine biosynthesis"
"953","PWY-5468","lupanine biosynthesis"
"954","PWY-5469","sesamin biosynthesis"
