"","V1","V2"
"404","EC:1.14.13.181","13-deoxydaunorubicin hydroxylase"
"405","EC:1.14.13.182","2-heptyl-3-hydroxy-4(1H)-quinolone synthase"
"406","EC:1.14.13.185","Pikromycin synthase"
"407","EC:1.14.13.186","20-oxo-5-O-mycaminosyltylactone 23-monooxygenase"
"408","EC:1.14.13.188","6-deoxyerythronolide B hydroxylase"
"409","EC:1.14.13.2","4-hydroxybenzoate 3-monooxygenase"
"410","EC:1.14.13.20","2,4-dichlorophenol 6-monooxygenase"
"411","EC:1.14.13.200","Tetracenomycin A2 monooxygenase-diooxygenase"
"412","EC:1.14.13.202","Methyl farnesoate epoxidase"
"413","EC:1.14.13.203","Farnesoate epoxidase"
"414","EC:1.14.13.21","Flavonoid 3'-monooxygenase"
"415","EC:1.14.13.22","Cyclohexanone monooxygenase"
"416","EC:1.14.13.23","3-hydroxybenzoate 4-monooxygenase"
"417","EC:1.14.13.25","Methane monooxygenase (soluble)"
"418","EC:1.14.13.36","5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase"
"419","EC:1.14.13.38","Anhydrotetracycline monooxygenase"
"420","EC:1.14.13.39","Nitric-oxide synthase (NADPH)"
"421","EC:1.14.13.40","Anthraniloyl-CoA monooxygenase"
"422","EC:1.14.13.48","(S)-limonene 6-monooxygenase"
"423","EC:1.14.13.49","(S)-limonene 7-monooxygenase"
"424","EC:1.14.13.50","Pentachlorophenol monooxygenase"
"425","EC:1.14.13.59","L-lysine N(6)-monooxygenase (NADPH)"
"426","EC:1.14.13.7","Phenol 2-monooxygenase"
"427","EC:1.14.13.70","Sterol 14-alpha-demethylase"
"428","EC:1.14.13.72","Methylsterol monooxygenase"
"429","EC:1.14.13.78","Ent-kaurene oxidase"
"430","EC:1.14.13.79","Ent-kaurenoic acid oxidase"
"431","EC:1.14.13.8","Flavin-containing monooxygenase"
"432","EC:1.14.13.81","Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase"
"433","EC:1.14.13.82","Vanillate monooxygenase"
"434","EC:1.14.13.83","Precorrin-3B synthase"
"435","EC:1.14.13.84","4-hydroxyacetophenone monooxygenase"
"436","EC:1.14.13.88","Flavonoid 3',5'-hydroxylase"
"437","EC:1.14.13.9","Kynurenine 3-monooxygenase"
"438","EC:1.14.13.90","Zeaxanthin epoxidase"
"439","EC:1.14.13.92","Phenylacetone monooxygenase"
"440","EC:1.14.13.93","(+)-abscisic acid 8'-hydroxylase"
"441","EC:1.14.13.99","24-hydroxycholesterol 7-alpha-hydroxylase"
"442","EC:1.14.14.1","Unspecific monooxygenase"
"443","EC:1.14.14.11","Styrene monooxygenase"
"444","EC:1.14.14.12","3-hydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione monooxygenase"
"445","EC:1.14.14.13","monooxygenase"
"446","EC:1.14.14.3","Alkanal monooxygenase (FMN-linked)"
"447","EC:1.14.14.5","Alkanesulfonate monooxygenase"
"448","EC:1.14.14.8","Anthranilate 3-monooxygenase (FAD)"
"449","EC:1.14.14.9","4-hydroxyphenylacetate 3-monooxygenase"
"450","EC:1.14.15.11","Pentalenic acid synthase"
"451","EC:1.14.15.12","Pimeloyl-[acyl-carrier protein] synthase"
"452","EC:1.14.15.13","Pulcherriminic acid synthase"
"453","EC:1.14.15.3","Alkane 1-monooxygenase"
"454","EC:1.14.15.7","Choline monooxygenase"
"455","EC:1.14.15.9","Spheroidene monooxygenase"
"456","EC:1.14.16.1","Phenylalanine 4-monooxygenase"
"457","EC:1.14.16.2","Tyrosine 3-monooxygenase"
"458","EC:1.14.16.4","Tryptophan 5-monooxygenase"
"459","EC:1.14.16.5","Alkylglycerol monooxygenase"
"460","EC:1.14.17.1","Dopamine beta-monooxygenase"
"461","EC:1.14.17.3","Peptidylglycine monooxygenase"
"462","EC:1.14.17.4","Aminocyclopropanecarboxylate oxidase"
"463","EC:1.14.18.1","Tyrosinase"
"464","EC:1.14.18.2","CMP-N-acetylneuraminate monooxygenase"
"465","EC:1.14.18.3","Methane monooxygenase (particulate)"
"466","EC:1.14.18.5","Sphingolipid C4-monooxygenase"
"467","EC:1.14.18.6","4-hydroxysphinganine ceramide fatty acyl 2-hydroxylase"
"468","EC:1.14.18.7","Dihydroceramide fatty acyl 2-hydroxylase"
"469","EC:1.14.19.1","Stearoyl-CoA 9-desaturase"
"470","EC:1.14.19.2","Stearoyl-[acyl-carrier-protein] 9-desaturase"
"471","EC:1.14.19.20","Delta(7)-sterol 5(6)-desaturase"
"472","EC:1.14.19.3","Acyl-CoA 6-desaturase"
"473","EC:1.14.19.4","Delta(8)-fatty-acid desaturase"
"474","EC:1.14.19.5","Acyl-CoA 11-(Z)-desaturase"
"475","EC:1.14.19.8","Pentalenolactone synthase"
"476","EC:1.14.19.9","Tryptophan 7-halogenase"
"477","EC:1.14.20.1","Deacetoxycephalosporin-C synthase"
"478","EC:1.14.20.3","(5R)-carbapenem-3-carboxylate synthase"
"479","EC:1.14.21.7","Biflaviolin synthase"
"480","EC:1.14.21.9","Mycocyclosin synthase"
"481","EC:1.14.99.1","Prostaglandin-endoperoxide synthase"
"482","EC:1.14.99.22","Ecdysone 20-monooxygenase"
"483","EC:1.14.99.29","Deoxyhypusine monooxygenase"
"484","EC:1.14.99.39","Ammonia monooxygenase"
"485","EC:1.14.99.44","Diapolycopene oxygenase"
"486","EC:1.14.99.45","Carotene epsilon-monooxygenase"
"487","EC:1.14.99.46","Pyrimidine monooxygenase"
"488","EC:1.14.99.48","Heme oxygenase (staphylobilin-producing)"
"489","EC:1.14.99.50","Gamma-glutamyl hercynylcysteine S-oxide synthase"
"490","EC:1.15.1.1","Superoxide dismutase"
"491","EC:1.15.1.2","Superoxide reductase"
"492","EC:1.16.1.1","Mercury(II) reductase"
"493","EC:1.16.1.10","Ferric-chelate reductase (NAD(P)H)"
"494","EC:1.16.1.3","Aquacobalamin reductase"
"495","EC:1.16.1.8","[Methionine synthase] reductase"
"496","EC:1.16.1.9","Ferric-chelate reductase (NADPH)"
"497","EC:1.16.3.1","Ferroxidase"
"498","EC:1.16.3.2","Bacterial non-heme ferritin"
"499","EC:1.16.8.1","Cob(II)yrinic acid a,c-diamide reductase"
"500","EC:1.17.1.1","CDP-4-dehydro-6-deoxyglucose reductase"
"501","EC:1.17.1.2","4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"502","EC:1.17.1.3","Leucoanthocyanidin reductase"
"503","EC:1.17.1.4","Xanthine dehydrogenase"
"504","EC:1.17.1.8","4-hydroxy-tetrahydrodipicolinate reductase"
"505","EC:1.17.2.1","Nicotinate dehydrogenase (cytochrome)"
"506","EC:1.17.3.2","Xanthine oxidase"
"507","EC:1.17.4.1","Ribonucleoside-diphosphate reductase"
"508","EC:1.17.4.2","Ribonucleoside-triphosphate reductase"
"509","EC:1.17.4.4","Vitamin-K-epoxide reductase (warfarin-sensitive)"
"510","EC:1.17.5.1","Phenylacetyl-CoA dehydrogenase"
"511","EC:1.17.7.1","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin)"
"512","EC:1.17.7.2","7-hydroxymethyl chlorophyll a reductase"
"513","EC:1.17.7.3","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin)"
"514","EC:1.17.99.1","4-methylphenol dehydrogenase (hydroxylating)"
"515","EC:1.17.99.2","Ethylbenzene hydroxylase"
"516","EC:1.17.99.6","Epoxyqueuosine reductase"
"517","EC:1.18.1.1","Rubredoxin--NAD(+) reductase"
"518","EC:1.18.1.2","Ferredoxin--NADP(+) reductase"
"519","EC:1.18.1.3","Ferredoxin--NAD(+) reductase"
"520","EC:1.18.1.6","Adrenodoxin-NADP(+) reductase"
"521","EC:1.18.1.7","specific)"
"522","EC:1.18.6.1","Nitrogenase"
"523","EC:1.2.1.10","Acetaldehyde dehydrogenase (acetylating)"
"524","EC:1.2.1.11","Aspartate-semialdehyde dehydrogenase"
"525","EC:1.2.1.12","Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"526","EC:1.2.1.13","Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating)"
"527","EC:1.2.1.16","Succinate-semialdehyde dehydrogenase (NAD(P)(+))"
"528","EC:1.2.1.18","Malonate-semialdehyde dehydrogenase (acetylating)"
"529","EC:1.2.1.19","Aminobutyraldehyde dehydrogenase"
"530","EC:1.2.1.2","Formate dehydrogenase"
"531","EC:1.2.1.20","Glutarate-semialdehyde dehydrogenase"
"532","EC:1.2.1.21","Glycolaldehyde dehydrogenase"
"533","EC:1.2.1.22","Lactaldehyde dehydrogenase"
"534","EC:1.2.1.24","Succinate-semialdehyde dehydrogenase (NAD(+))"
"535","EC:1.2.1.26","2,5-dioxovalerate dehydrogenase"
"536","EC:1.2.1.27","Methylmalonate-semialdehyde dehydrogenase (CoA acylating)"
"537","EC:1.2.1.28","Benzaldehyde dehydrogenase (NAD(+))"
"538","EC:1.2.1.3","Aldehyde dehydrogenase (NAD(+))"
"539","EC:1.2.1.31","L-aminoadipate-semialdehyde dehydrogenase"
"540","EC:1.2.1.32","Aminomuconate-semialdehyde dehydrogenase"
"541","EC:1.2.1.38","N-acetyl-gamma-glutamyl-phosphate reductase"
"542","EC:1.2.1.39","Phenylacetaldehyde dehydrogenase"
"543","EC:1.2.1.4","Aldehyde dehydrogenase (NADP(+))"
"544","EC:1.2.1.41","Glutamate-5-semialdehyde dehydrogenase"
"545","EC:1.2.1.43","Formate dehydrogenase (NADP(+))"
"546","EC:1.2.1.44","Cinnamoyl-CoA reductase"
"547","EC:1.2.1.46","Formaldehyde dehydrogenase"
"548","EC:1.2.1.47","4-trimethylammoniobutyraldehyde dehydrogenase"
"549","EC:1.2.1.5","Aldehyde dehydrogenase (NAD(P)(+))"
"550","EC:1.2.1.50","Long-chain-fatty-acyl-CoA reductase"
"551","EC:1.2.1.54","Gamma-guanidinobutyraldehyde dehydrogenase"
"552","EC:1.2.1.58","Phenylglyoxylate dehydrogenase (acylating)"
"553","EC:1.2.1.59","Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating)"
"554","EC:1.2.1.60","5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase"
"555","EC:1.2.1.62","4-formylbenzenesulfonate dehydrogenase"
"556","EC:1.2.1.65","Salicylaldehyde dehydrogenase"
"557","EC:1.2.1.68","Coniferyl-aldehyde dehydrogenase"
"558","EC:1.2.1.70","Glutamyl-tRNA reductase"
"559","EC:1.2.1.71","Succinylglutamate-semialdehyde dehydrogenase"
"560","EC:1.2.1.72","Erythrose-4-phosphate dehydrogenase"
"561","EC:1.2.1.73","Sulfoacetaldehyde dehydrogenase"
"562","EC:1.2.1.75","Malonyl CoA reductase (malonate semialdehyde-forming)"
"563","EC:1.2.1.76","Succinate-semialdehyde dehydrogenase (acetylating)"
"564","EC:1.2.1.77","3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP(+))"
"565","EC:1.2.1.78","2-formylbenzoate dehydrogenase"
"566","EC:1.2.1.79","Succinate-semialdehyde dehydrogenase (NADP(+))"
"567","EC:1.2.1.8","Betaine-aldehyde dehydrogenase"
"568","EC:1.2.1.80","Long-chain acyl-[acyl-carrier-protein] reductase"
"569","EC:1.2.1.81","Sulfoacetaldehyde dehydrogenase (acylating)"
"570","EC:1.2.1.83","3-succinoylsemialdehyde-pyridine dehydrogenase"
"571","EC:1.2.1.84","Alcohol-forming fatty acyl-CoA reductase"
"572","EC:1.2.1.85","2-hydroxymuconate-6-semialdehyde dehydrogenase"
"573","EC:1.2.1.86","Geranial dehydrogenase"
"574","EC:1.2.1.87","Propanal dehydrogenase (CoA-propanoylating)"
"575","EC:1.2.1.88","L-glutamate gamma-semialdehyde dehydrogenase"
"576","EC:1.2.1.89","D-glyceraldehyde dehydrogenase (NADP(+))"
"577","EC:1.2.1.9","Glyceraldehyde-3-phosphate dehydrogenase (NADP(+))"
"578","EC:1.2.1.90","Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+))"
"579","EC:1.2.1.91","3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase"
"580","EC:1.2.3.1","Aldehyde oxidase"
"581","EC:1.2.3.14","Abscisic-aldehyde oxidase"
"582","EC:1.2.3.3","Pyruvate oxidase"
"583","EC:1.2.3.7","Indole-3-acetaldehyde oxidase"
"584","EC:1.2.4.1","Pyruvate dehydrogenase (acetyl-transferring)"
"585","EC:1.2.4.2","Oxoglutarate dehydrogenase (succinyl-transferring)"
"586","EC:1.2.4.4","3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)"
"587","EC:1.2.5.1","Pyruvate dehydrogenase (quinone)"
"588","EC:1.2.7.1","Pyruvate synthase"
"589","EC:1.2.7.10","Oxalate oxidoreductase"
"590","EC:1.2.7.11","2-oxoacid oxidoreductase (ferredoxin)"
"591","EC:1.2.7.3","2-oxoglutarate synthase"
"592","EC:1.2.7.4","Carbon-monoxide dehydrogenase (ferredoxin)"
"593","EC:1.2.7.5","Aldehyde ferredoxin oxidoreductase"
"594","EC:1.2.7.6","Glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)"
"595","EC:1.2.7.7","3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)"
"596","EC:1.2.7.8","Indolepyruvate ferredoxin oxidoreductase"
"597","EC:1.2.98.1","Formaldehyde dismutase"
"598","EC:1.2.99.2","Carbon-monoxide dehydrogenase (acceptor)"
"599","EC:1.2.99.5","Formylmethanofuran dehydrogenase"
"600","EC:1.2.99.7","Aldehyde dehydrogenase (FAD-independent)"
"601","EC:1.2.99.8","Glyceraldehyde dehydrogenase (FAD-containing)"
"602","EC:1.20.1.1","Phosphonate dehydrogenase"
"603","EC:1.20.4.1","Arsenate reductase (glutaredoxin)"
"604","EC:1.20.4.3","Mycoredoxin"
"605","EC:1.20.9.1","Arsenate reductase (azurin)"
"606","EC:1.21.1.1","Iodotyrosine deiodinase"
"607","EC:1.21.3.1","Isopenicillin-N synthase"
"608","EC:1.21.4.1","D-proline reductase (dithiol)"
"609","EC:1.21.4.2","Glycine reductase"
"610","EC:1.21.4.4","Betaine reductase"
"611","EC:1.21.98.1","Cyclic dehypoxanthinyl futalosine synthase"
"612","EC:1.23.5.1","Violaxanthin de-epoxidase"
"613","EC:1.3.1.1","Dihydrouracil dehydrogenase (NAD(+))"
"614","EC:1.3.1.10","Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific)"
"615","EC:1.3.1.101","2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H)"
"616","EC:1.3.1.104","Enoyl-[acyl-carrier-protein] reductase"
"617","EC:1.3.1.105","2-methylene-furan-3-one reductase"
"618","EC:1.3.1.106","Cobalt-precorrin-6A reductase"
"619","EC:1.3.1.12","Prephenate dehydrogenase"
"620","EC:1.3.1.13","Prephenate dehydrogenase (NADP(+))"
"621","EC:1.3.1.14","Dihydroorotate dehydrogenase (NAD(+))"
"622","EC:1.3.1.19","Cis-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"623","EC:1.3.1.2","Dihydropyrimidine dehydrogenase (NADP(+))"
"624","EC:1.3.1.20","Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase"
"625","EC:1.3.1.21","7-dehydrocholesterol reductase"
"626","EC:1.3.1.22","3-oxo-5-alpha-steroid 4-dehydrogenase (NADP(+))"
"627","EC:1.3.1.24","Biliverdin reductase"
"628","EC:1.3.1.25","1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase"
"629","EC:1.3.1.28","2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
"630","EC:1.3.1.29","Cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase"
"631","EC:1.3.1.31","2-enoate reductase"
"632","EC:1.3.1.32","Maleylacetate reductase"
"633","EC:1.3.1.33","Protochlorophyllide reductase"
"634","EC:1.3.1.34","2,4-dienoyl-CoA reductase (NADPH)"
"635","EC:1.3.1.38","Trans-2-enoyl-CoA reductase (NADPH)"
"636","EC:1.3.1.42","12-oxophytodienoate reductase"
"637","EC:1.3.1.43","Arogenate dehydrogenase"
"638","EC:1.3.1.44","Trans-2-enoyl-CoA reductase (NAD(+))"
"639","EC:1.3.1.45","2'-hydroxyisoflavone reductase"
"640","EC:1.3.1.48","15-oxoprostaglandin 13-reductase"
"641","EC:1.3.1.49","Cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase"
"642","EC:1.3.1.53","(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase"
"643","EC:1.3.1.54","Precorrin-6A reductase"
"644","EC:1.3.1.56","Cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase"
"645","EC:1.3.1.58","2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase"
"646","EC:1.3.1.6","Fumarate reductase (NADH)"
"647","EC:1.3.1.60","Dibenzothiophene dihydrodiol dehydrogenase"
"648","EC:1.3.1.62","Pimeloyl-CoA dehydrogenase"
"649","EC:1.3.1.64","Phthalate 4,5-cis-dihydrodiol dehydrogenase"
"650","EC:1.3.1.70","Delta(14)-sterol reductase"
"651","EC:1.3.1.71","Delta(24(24(1)))-sterol reductase"
"652","EC:1.3.1.72","Delta(24)-sterol reductase"
"653","EC:1.3.1.74","2-alkenal reductase (NAD(P)(+))"
"654","EC:1.3.1.75","Divinyl chlorophyllide a 8-vinyl-reductase"
"655","EC:1.3.1.76","Precorrin-2 dehydrogenase"
"656","EC:1.3.1.77","Anthocyanidin reductase"
"657","EC:1.3.1.78","Arogenate dehydrogenase (NADP(+))"
"658","EC:1.3.1.80","Red chlorophyll catabolite reductase"
"659","EC:1.3.1.83","Geranylgeranyl diphosphate reductase"
"660","EC:1.3.1.84","Acrylyl-CoA reductase (NADPH)"
"661","EC:1.3.1.85","Crotonyl-CoA carboxylase/reductase"
"662","EC:1.3.1.86","Crotonyl-CoA reductase"
"663","EC:1.3.1.87","3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase"
"664","EC:1.3.1.88","tRNA-dihydrouridine(16/17) synthase (NAD(P)(+))"
"665","EC:1.3.1.89","tRNA-dihydrouridine(47) synthase (NAD(P)(+))"
"666","EC:1.3.1.9","Enoyl-[acyl-carrier-protein] reductase (NADH)"
"667","EC:1.3.1.90","tRNA-dihydrouridine(20a/20b) synthase (NAD(P)(+))"
"668","EC:1.3.1.91","tRNA-dihydrouridine(20) synthase (NAD(P)(+))"
"669","EC:1.3.1.93","Very-long-chain enoyl-CoA reductase"
"670","EC:1.3.1.94","Polyprenol reductase"
"671","EC:1.3.1.98","UDP-N-acetylmuramate dehydrogenase"
"672","EC:1.3.2.3","L-galactonolactone dehydrogenase"
"673","EC:1.3.3.11","Pyrroloquinoline-quinone synthase"
"674","EC:1.3.3.14","Aclacinomycin-A oxidase"
"675","EC:1.3.3.3","Coproporphyrinogen oxidase"
"676","EC:1.3.3.4","Protoporphyrinogen oxidase"
"677","EC:1.3.3.5","Bilirubin oxidase"
"678","EC:1.3.3.6","Acyl-CoA oxidase"
"679","EC:1.3.4.1","Fumarate reductase (CoM/CoB)"
"680","EC:1.3.5.1","Succinate dehydrogenase (quinone)"
"681","EC:1.3.5.2","Dihydroorotate dehydrogenase (quinone)"
"682","EC:1.3.5.3","Protoporphyrinogen IX dehydrogenase (menaquinone)"
"683","EC:1.3.5.4","Fumarate reductase (quinol)"
"684","EC:1.3.5.5","15-cis-phytoene desaturase"
"685","EC:1.3.5.6","9,9'-di-cis-zeta-carotene desaturase"
"686","EC:1.3.7.11","2,3-bis-O-geranylgeranyl-sn-glycero-phospholipid reductase"
"687","EC:1.3.7.2","15,16-dihydrobiliverdin:ferredoxin oxidoreductase"
"688","EC:1.3.7.3","Phycoerythrobilin:ferredoxin oxidoreductase"
"689","EC:1.3.7.4","Phytochromobilin:ferredoxin oxidoreductase"
"690","EC:1.3.7.5","Phycocyanobilin:ferredoxin oxidoreductase"
"691","EC:1.3.7.7","Ferredoxin:protochlorophyllide reductase (ATP-dependent)"
"692","EC:1.3.7.8","Benzoyl-CoA reductase"
"693","EC:1.3.7.9","4-hydroxybenzoyl-CoA reductase"
"694","EC:1.3.8.1","Short-chain acyl-CoA dehydrogenase"
"695","EC:1.3.8.10","Cyclohex-1-ene-1-carbonyl-CoA dehydrogenase"
"696","EC:1.3.8.11","Cyclohexane-1-carbonyl-CoA dehydrogenase"
"697","EC:1.3.8.12","(2S)-methylsuccinyl-CoA dehydrogenase"
"698","EC:1.3.8.2","4,4'-diapophytoene desaturase (4,4'-diapolycopene-forming)"
"699","EC:1.3.8.3","(R)-benzylsuccinyl-CoA dehydrogenase"
"700","EC:1.3.8.4","Isovaleryl-CoA dehydrogenase"
"701","EC:1.3.8.6","Glutaryl-CoA dehydrogenase (ETF)"
"702","EC:1.3.8.7","Medium-chain acyl-CoA dehydrogenase"
"703","EC:1.3.8.8","Long-chain-acyl-CoA dehydrogenase"
"704","EC:1.3.8.9","Very-long-chain acyl-CoA dehydrogenase"
"705","EC:1.3.98.1","Dihydroorotate oxidase (fumarate)"
"706","EC:1.3.99.12","2-methylacyl-CoA dehydrogenase"
"707","EC:1.3.99.16","Isoquinoline 1-oxidoreductase"
"708","EC:1.3.99.22","Coproporphyrinogen dehydrogenase"
"709","EC:1.3.99.23","All-trans-retinol 13,14-reductase"
"710","EC:1.3.99.26","All-trans-zeta-carotene desaturase"
"711","EC:1.3.99.27","1-hydroxycarotenoid 3,4-desaturase"
"712","EC:1.3.99.28","Phytoene desaturase (neurosporene-forming)"
"713","EC:1.3.99.29","Phytoene desaturase (zeta-carotene-forming)"
"714","EC:1.3.99.30","Phytoene desaturase (3,4-didehydrolycopene-forming)"
"715","EC:1.3.99.31","Phytoene desaturase (lycopene-forming)"
"716","EC:1.3.99.32","Glutaryl-CoA dehydrogenase (acceptor)"
"717","EC:1.3.99.33","Urocanate reductase"
"718","EC:1.3.99.35","Chlorophyllide a reductase"
"719","EC:1.3.99.4","3-oxosteroid 1-dehydrogenase"
"720","EC:1.3.99.5","3-oxo-5-alpha-steroid 4-dehydrogenase (acceptor)"
"721","EC:1.3.99.8","2-furoyl-CoA dehydrogenase"
"722","EC:1.4.1.1","Alanine dehydrogenase"
"723","EC:1.4.1.11","L-erythro-3,5-diaminohexanoate dehydrogenase"
"724","EC:1.4.1.13","Glutamate synthase (NADPH)"
"725","EC:1.4.1.14","Glutamate synthase (NADH)"
"726","EC:1.4.1.16","Diaminopimelate dehydrogenase"
"727","EC:1.4.1.18","Lysine 6-dehydrogenase"
"728","EC:1.4.1.2","Glutamate dehydrogenase"
"729","EC:1.4.1.20","Phenylalanine dehydrogenase"
"730","EC:1.4.1.21","Aspartate dehydrogenase"
"731","EC:1.4.1.23","Valine dehydrogenase (NAD(+))"
"732","EC:1.4.1.24","3-dehydroquinate synthase II"
"733","EC:1.4.1.3","Glutamate dehydrogenase (NAD(P)(+))"
"734","EC:1.4.1.4","Glutamate dehydrogenase (NADP(+))"
"735","EC:1.4.1.9","Leucine dehydrogenase"
"736","EC:1.4.3.1","D-aspartate oxidase"
"737","EC:1.4.3.10","Putrescine oxidase"
"738","EC:1.4.3.16","L-aspartate oxidase"
"739","EC:1.4.3.19","Glycine oxidase"
"740","EC:1.4.3.2","L-amino-acid oxidase"
"741","EC:1.4.3.20","L-lysine 6-oxidase"
"742","EC:1.4.3.21","Primary-amine oxidase"
"743","EC:1.4.3.22","Diamine oxidase"
"744","EC:1.4.3.3","D-amino-acid oxidase"
"745","EC:1.4.3.4","Monoamine oxidase"
"746","EC:1.4.3.5","Pyridoxal 5'-phosphate synthase"
"747","EC:1.4.4.2","Glycine dehydrogenase (aminomethyl-transferring)"
"748","EC:1.4.7.1","Glutamate synthase (ferredoxin)"
"749","EC:1.4.9.1","Methylamine dehydrogenase (amicyanin)"
"750","EC:1.4.9.2","Aralkylamine dehydrogenase (azurin)"
"751","EC:1.4.99.5","Glycine dehydrogenase (cyanide-forming)"
"752","EC:1.4.99.6","D-arginine dehydrogenase"
"753","EC:1.5.1.1","(NAD(P)H)"
"754","EC:1.5.1.10","Saccharopine dehydrogenase (NADP(+), L-glutamate-forming)"
"755","EC:1.5.1.15","Methylenetetrahydrofolate dehydrogenase (NAD(+))"
"756","EC:1.5.1.19","D-nopaline dehydrogenase"
"757","EC:1.5.1.2","Pyrroline-5-carboxylate reductase"
"758","EC:1.5.1.20","Methylenetetrahydrofolate reductase (NAD(P)H)"
"759","EC:1.5.1.21","1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase (NADPH)"
"760","EC:1.5.1.24","N(5)-(carboxyethyl)ornithine synthase"
"761","EC:1.5.1.25","Thiomorpholine-carboxylate dehydrogenase"
"762","EC:1.5.1.28","Opine dehydrogenase"
"763","EC:1.5.1.3","Dihydrofolate reductase"
"764","EC:1.5.1.30","Flavin reductase (NADPH)"
"765","EC:1.5.1.33","Pteridine reductase"
"766","EC:1.5.1.34","6,7-dihydropteridine reductase"
"767","EC:1.5.1.36","Flavin reductase (NADH)"
"768","EC:1.5.1.37","FAD reductase (NADH)"
"769","EC:1.5.1.38","FMN reductase (NADPH)"
"770","EC:1.5.1.39","FMN reductase (NAD(P)H)"
"771","EC:1.5.1.41","Riboflavin reductase (NAD(P)H)"
"772","EC:1.5.1.43","Carboxynorspermidine synthase"
"773","EC:1.5.1.45","FAD reductase (NAD(P)H)"
"774","EC:1.5.1.47","Dihydromethanopterin reductase (NAD(P)(+))"
"775","EC:1.5.1.49","1-pyrroline-2-carboxylate reductase (NAD(P)H)"
"776","EC:1.5.1.5","Methylenetetrahydrofolate dehydrogenase (NADP(+))"
"777","EC:1.5.1.6","Formyltetrahydrofolate dehydrogenase"
"778","EC:1.5.1.7","Saccharopine dehydrogenase (NAD(+), L-lysine-forming)"
"779","EC:1.5.1.8","Saccharopine dehydrogenase (NADP(+), L-lysine-forming)"
"780","EC:1.5.1.9","Saccharopine dehydrogenase (NAD(+), L-glutamate-forming)"
"781","EC:1.5.3.1","Sarcosine oxidase"
"782","EC:1.5.3.14","Polyamine oxidase (propane-1,3-diamine-forming)"
"783","EC:1.5.3.16","Spermine oxidase"
"784","EC:1.5.3.17","Non-specific polyamine oxidase"
"785","EC:1.5.3.19","4-methylaminobutanoate oxidase (formaldehyde-forming)"
"786","EC:1.5.3.7","L-pipecolate oxidase"
"787","EC:1.5.4.1","Pyrimidodiazepine synthase"
"788","EC:1.5.5.1","Electron-transferring-flavoprotein dehydrogenase"
"789","EC:1.5.5.2","Proline dehydrogenase"
"790","EC:1.5.8.1","Dimethylamine dehydrogenase"
"791","EC:1.5.8.2","Trimethylamine dehydrogenase"
"792","EC:1.5.8.3","Sarcosine dehydrogenase"
"793","EC:1.5.8.4","Dimethylglycine dehydrogenase"
"794","EC:1.5.98.1","Methylenetetrahydromethanopterin dehydrogenase"
"795","EC:1.5.98.2","5,10-methylenetetrahydromethanopterin reductase"
"796","EC:1.5.99.12","Cytokinin dehydrogenase"
"797","EC:1.5.99.13","D-proline dehydrogenase"
"798","EC:1.5.99.14","6-hydroxypseudooxynicotine dehydrogenase"
"799","EC:1.5.99.15","Dihydromethanopterin reductase (acceptor)"
"800","EC:1.5.99.6","Spermidine dehydrogenase"
"801","EC:1.6.1.1","NAD(P)(+) transhydrogenase (Si-specific)"
"802","EC:1.6.1.2","NAD(P)(+) transhydrogenase (Re/Si-specific)"
"803","EC:1.6.2.2","Cytochrome-b5 reductase"
"804","EC:1.6.2.4","NADPH--hemoprotein reductase"
"805","EC:1.6.3.1","NAD(P)H oxidase (H(2)O(2)-forming)"
