OTU,Chris-01,Chris-02,Chris-03,Chris-04,Chris-05,Chris-06,Chris-07,Chris-08,Chris-09,Chris-10,Chris-11,Chris-12,Chris-13,Chris-14,Chris-15,Chris-16,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1205,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,midas_g_2258,midas_s_2258
OTU_1206,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,midas_g_3060,midas_s_17411
OTU_1207,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,
OTU_1208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,midas_s_43936
OTU_1209,6,5,5,6,9,0,1,0,0,0,0,0,0,0,0,1,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,midas_s_549
OTU_1210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,P3OB-42,midas_s_77130
OTU_1211,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,,
OTU_1212,21,44,10,37,53,0,1,0,1,1,1,1,5,0,0,7,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,
OTU_1213,4,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_10622
OTU_1214,1,0,1,2,4,0,0,0,0,0,0,0,0,1,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_1107
OTU_1215,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_13794
OTU_1216,3,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_172
OTU_1217,2,10,0,10,79,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_2203
OTU_1218,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_25091
OTU_1219,4,20,3,4,12,0,0,0,0,0,0,1,5,0,0,3,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_2865
OTU_1220,1,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_32200
OTU_1221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_42210
OTU_1222,3,2,1,1,2,1,0,0,0,1,0,0,1,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_458
OTU_1223,2,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_463
OTU_1224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_49282
OTU_1225,1,0,4,2,8,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_52138
OTU_1226,13,2,3,2,3,0,1,0,0,0,0,0,5,0,1,1,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_63063
OTU_1227,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_68289
OTU_1228,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_68485
OTU_1229,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_7485
OTU_1230,5,22,1,13,30,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_8080
OTU_1231,12,21,5,51,52,0,0,0,0,0,0,0,2,0,2,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_8233
OTU_1232,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,midas_g_23660,midas_s_23660
OTU_1233,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,midas_g_70925,midas_s_70925
OTU_1234,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,,,
OTU_1235,1,1,3,4,0,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,,
OTU_1236,3,4,3,3,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_13404,
OTU_1237,2,3,4,3,1,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_13404,midas_s_13404
OTU_1238,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_13404,midas_s_68606
OTU_1239,1,3,3,5,3,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_1853,
OTU_1240,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_1853,midas_s_1853
OTU_1241,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_23270,
OTU_1242,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_3374,midas_s_3374
OTU_1243,2,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_35768,
OTU_1244,3,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_48750,midas_s_48750
OTU_1245,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_51949,midas_s_51949
OTU_1246,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_5210,
OTU_1247,4,11,8,17,27,0,0,0,0,0,0,0,4,0,0,2,Bacteria,Myxococcota,Polyangia,mle1-27,midas_f_990,midas_g_990,midas_s_990
OTU_1248,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,,
OTU_1249,22,12,7,10,5,0,0,1,0,0,0,0,0,0,0,2,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,
OTU_1250,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_1119
OTU_1251,31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_19773
OTU_1252,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_2027
OTU_1253,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_47286
OTU_1254,3,3,0,1,4,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,Nannocystis,midas_s_5457
OTU_1255,4,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,,,
OTU_1256,5,2,0,4,5,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,
OTU_1257,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,midas_s_4293
OTU_1258,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,midas_s_60893
OTU_1259,6,3,2,4,9,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,,
OTU_1260,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,midas_s_3054
OTU_1261,3,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,midas_g_2555,
OTU_1262,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,midas_g_2555,midas_s_7489
OTU_1263,11,6,6,6,4,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,
OTU_1264,1,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,midas_s_33840
OTU_1265,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Polyangium,
OTU_1266,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Sorangium,midas_s_31179
OTU_1267,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,midas_g_4851,
OTU_1268,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Sandaracinus,
OTU_1269,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Sandaracinus,midas_s_7009
OTU_1270,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Nitrospirota,Nitrospiria,,,,
OTU_1271,11,10,11,10,10,0,4,1,1,2,0,0,1,0,0,0,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,
OTU_1272,73,28,16,7,42,5,5,8,13,6,0,0,1,0,0,4,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira_defluvii
OTU_1273,24,35,60,60,54,3,7,9,4,8,0,0,0,0,1,0,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,Nitrospira_nitrosa
OTU_1274,1,0,0,0,0,16,15,19,16,16,218,124,192,222,72,21,Bacteria,Patescibacteria,,,,,
OTU_1275,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,ABY1,Ca_Falkowbacteria,midas_f_5033,midas_g_13219,
OTU_1276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,ABY1,Ca_Falkowbacteria,midas_f_5033,midas_g_62846,
OTU_1277,1,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,Bacteria,Patescibacteria,Dojkabacteria,midas_o_12581,midas_f_12581,midas_g_12581,midas_s_12581
OTU_1278,1,0,0,0,0,9,18,10,8,8,3,7,4,12,1,1,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_546,midas_g_101370,midas_s_101370
OTU_1279,1,1,0,0,0,38,26,35,42,19,63,142,8,91,1,3,Bacteria,Patescibacteria,Dojkabacteria,midas_o_546,midas_f_546,midas_g_657,midas_s_657
OTU_1280,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Gracilibacteria,Ca_Peregrinibacteria,midas_f_69440,midas_g_85700,midas_s_85700
OTU_1281,5,3,3,1,0,1,1,2,0,1,0,1,0,1,0,0,Bacteria,Patescibacteria,Microgenomatia,,,,
OTU_1282,1,2,2,1,0,0,0,0,1,2,1,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Collierbacteria,midas_f_2215,midas_g_13957,
OTU_1283,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Collierbacteria,midas_f_2215,midas_g_13957,midas_s_13957
OTU_1284,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Collierbacteria,midas_f_2215,midas_g_2215,
OTU_1285,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Collierbacteria,midas_f_2215,midas_g_2215,midas_s_45028
OTU_1286,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Daviesbacteria,midas_f_20180,midas_g_21364,midas_s_21364
OTU_1287,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Levybacteria,midas_f_35095,midas_g_35095,
OTU_1288,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Levybacteria,midas_f_35095,midas_g_40910,
OTU_1289,3,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Pacebacteria,,,
OTU_1290,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Pacebacteria,midas_f_17491,,
OTU_1291,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Roizmanbacteria,midas_f_370,midas_g_370,midas_s_370
OTU_1292,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Shapirobacteria,midas_f_49852,midas_g_49852,midas_s_49852
OTU_1293,1,1,0,0,0,0,7,2,2,1,16,16,15,16,1,0,Bacteria,Patescibacteria,Microgenomatia,Ca_Woesebacteria,,,
OTU_1294,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Parcubacteria,Ca_Nomurabacteria,,,
OTU_1295,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Parcubacteria,Ca_Nomurabacteria,midas_f_18462,midas_g_68885,midas_s_68885
OTU_1296,1,3,4,1,2,0,1,2,0,0,0,0,1,0,0,0,Bacteria,Patescibacteria,Parcubacteria,midas_o_11143,midas_f_11143,midas_g_54987,midas_s_54987
OTU_1297,12,13,13,18,12,2,8,10,10,7,1,3,2,1,4,2,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,
OTU_1298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_11912,midas_g_11912,
OTU_1299,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_11912,midas_g_13101,midas_s_13101
OTU_1300,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_12351,,
OTU_1301,2,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_12351,midas_g_12494,midas_s_12494
OTU_1302,1,0,0,2,0,2,0,0,0,0,0,1,2,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_14310,midas_g_16674,
OTU_1303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_14845,midas_g_18346,midas_s_18346
OTU_1304,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_3760,,
OTU_1305,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4375,midas_g_4375,
OTU_1306,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4375,midas_g_4375,midas_s_4375
OTU_1307,2,2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4375,midas_g_4375,midas_s_6364
OTU_1308,10,1,1,8,0,2,0,1,0,0,3,0,0,0,0,3,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4774,,
OTU_1309,4,1,1,1,4,1,1,0,2,0,0,0,1,1,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4774,midas_g_12817,
OTU_1310,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_4774,midas_g_12817,midas_s_12817
OTU_1311,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_5324,midas_g_17265,
OTU_1312,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_5391,midas_g_5391,
OTU_1313,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_6368,,
OTU_1314,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,,
OTU_1315,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_13543,midas_s_13543
OTU_1316,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_24184,midas_s_24184
OTU_1317,3,4,2,6,0,0,2,3,0,1,1,1,3,0,1,1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,,
OTU_1318,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_12261,midas_s_17837
OTU_1319,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_12261,midas_s_46174
OTU_1320,1,3,1,1,0,0,0,2,2,0,0,0,0,1,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_3547,midas_s_3547
OTU_1321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_6877,midas_s_18219
OTU_1322,2,1,3,0,3,0,2,0,0,1,0,0,0,0,1,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_8032,
OTU_1323,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_8032,midas_s_14676
OTU_1324,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_8032,midas_s_26619
OTU_1325,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_8032,midas_s_8032
OTU_1326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_728,midas_g_8176,midas_s_8176
OTU_1327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_7404,,
OTU_1328,2,2,5,3,3,1,0,1,2,1,0,0,1,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,,
OTU_1329,1,1,6,1,0,0,0,0,0,0,0,1,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,midas_g_17995,midas_s_17995
OTU_1330,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,midas_g_54009,midas_s_54009
OTU_1331,2,5,5,1,2,1,0,0,1,0,0,0,0,1,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,
OTU_1332,1,0,4,2,1,0,0,2,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,midas_s_14362
OTU_1333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7a,midas_s_23773
OTU_1334,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x,midas_s_16848
OTU_1335,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadaceae,TM7x,midas_s_27825
OTU_1336,3,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,Bacteria,Planctomycetota,,,,,
OTU_1337,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,BD7-11,midas_o_17905,midas_f_17905,midas_g_17905,midas_s_17905
OTU_1338,1,5,3,4,5,0,1,0,0,0,0,0,2,0,0,1,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,,
OTU_1339,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,midas_g_23116,
OTU_1340,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,midas_g_2663,midas_s_76239
OTU_1341,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_2104,midas_g_4089,
OTU_1342,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_7287,midas_g_113874,midas_s_119572
OTU_1343,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_7287,midas_g_114675,
OTU_1344,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_7287,midas_g_30428,midas_s_30428
OTU_1345,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_2104,midas_f_7287,midas_g_48583,midas_s_48583
OTU_1346,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_3911,midas_f_8026,midas_g_71918,midas_s_87665
OTU_1347,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,OM190,midas_o_3911,midas_f_8026,midas_g_78905,midas_s_83113
OTU_1348,5,0,3,4,4,1,0,0,0,0,0,0,2,2,0,3,Bacteria,Planctomycetota,OM190,midas_o_4192,midas_f_4192,midas_g_5874,midas_s_5874
OTU_1349,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Bacteria,Planctomycetota,Phycisphaerae,,,,
OTU_1350,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,mle1-8,midas_f_1686,midas_g_36773,midas_s_58393
OTU_1351,1,0,0,0,0,1,0,1,1,0,0,2,0,0,0,1,Bacteria,Planctomycetota,Phycisphaerae,MSBL9,GWC2-45-44,midas_g_100106,midas_s_100106
OTU_1352,1,0,0,0,1,1,0,1,0,0,0,0,4,0,0,8,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,midas_s_4986
OTU_1353,5,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,midas_g_19286,midas_s_19286
OTU_1354,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,midas_g_5951,midas_s_5951
OTU_1355,1,5,0,5,2,1,0,0,0,0,0,0,0,0,0,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,
OTU_1356,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_19427
OTU_1357,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_22874
OTU_1358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_35037
OTU_1359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_37247
OTU_1360,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_3784
OTU_1361,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_38546
OTU_1362,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_44859
