,Date,AD,SludgeType,Treatment,daysop,week,Period,SampleID.TSVS,TS_ww,VS_wwTS,VS_ww,VSr_pct,SampleID.pH,pH,SampleID.CODNH4,COD_mgL,TNH3_mgL,FAN_mgL,CODr_pct,CH4_pct,CH4_L,CH4_L_kgVS,O2_pct,Gasflow_mL,SampleID.CHN,C,H_pct,N_pct,CN,HC,gC_kg,gH_kg,gN_kg,SampleID.VFA,Ethanol,Propanol,Butanol,X1.Hexanol,Acetic.acid,Propionic.acid,iso.Butyric.acid,Butyric.acid,iso.Valeric.acid,Valeric.acid,4-Methyl.valeric.acid,Hexanoic.acid,DTubeID,SampleID.DNA,ngmL_qb,DNA_mg_gCOD,DNA_mg_gVS,DNA_mg_L,DNA_mgLSludge,Observed,Chao1,se.chao1,ACE,se.ACE,Shannon,Simpson,InvSimpson,Fisher,pielou_ev,VFAS
375,3/5/2023,AD5,Treatment,Treatment,63,10,Glycerol,S631_AD5,1.8,71.2,1.28,56.19930475,S625_AD5,6.87,S595_AD5,21467.5,,,64.76829469,67,4.9328951,685.9182063,1.1,7362.53,S643_AD5,33.575,6.045,5.578,6,0.18,6.04,1.09,1,S655_AD5,0,0,1.16,1.99,61.67,371.96,14.03,7.24,12.53,7.82,3.22,4.41,#083,S637_AD5,227,1.7064,1.8757,23.63,23.6,429.00,440.32,5.92,438.88,10.33,4.23,0.97,29.98,70.53,0.70,
376,3/5/2023,AD6,Treatment,Treatment,63,10,Glycerol,S632_AD6,1.87,72.31,1.34,52.7230591,S626_AD6,6.71,S596_AD6,21545,,,64.64110442,69,4.86154956,675.9976213,0.9,7045.724,S644_AD6,32.06,5.333,5.615,5.7,0.17,6,1,1.05,S656_AD6,0,0,1.11,2.39,229.58,375.21,10.67,18.19,10.86,9.14,3.29,2.42,#084,S638_AD6,200,1.4788,1.5114,20.55,20.6,525.00,537.10,5.87,536.57,11.43,4.37,0.96,25.06,89.89,0.70,
383,4/5/2023,PSTWAS,PSTWAS,PSTWAS,64,10,Glycerol,F86,3.15,81.28,2.56,,F84,5.72,F85,59080,300,0.201704047,,,,,,,F81,40.541,6.88,4.665,8.7,0.17,10.38,1.76,1.19,,,,,,,,,,,,,,#085,F82,236.67,0.8741,0.9512,24.42,24.4,1213.00,1273.45,15.14,1264.27,17.51,5.93,0.99,110.43,251.91,0.84,
377,4/5/2023,AD1,Control,Control,64,10,Glycerol,S729_AD1,1.87,71.49,1.33,53.66164542,S723_AD1,7.16,S680_AD1,22233,937.5,17.05621731,63.51198304,66,3.01501068,419.236711,1.9,4568.198,S663_AD1,35.097,5.554,5.599,6.3,0.16,6.56,1.04,1.05,S674_AD1,0,0,0.75,2.47,61.21,43.29,1.84,1.88,2.1,0.39,2.23,0,#086,S657_AD1,205.5,1.4754,1.5877,21.16,21.2,541.00,563.20,9.64,554.00,11.56,4.48,0.96,26.13,93.21,0.71,115.41
378,4/5/2023,AD2,Treatment,Treatment,64,10,Glycerol,S730_AD2,2.07,73.23,1.49,48.20393975,S724_AD2,6.33,S681_AD2,27696.5,1037.5,2.835860408,54.54547916,42,1.26795228,176.3085441,5.9,3018.934,S664_AD2,34.642,6.196,5.845,5.9,0.18,7.17,1.28,1.21,S675_AD2,0.64,0,0.91,2.42,31.3,755.16,28.59,42.05,43.62,25.28,2.42,8.23,#087,S658_AD2,205.5,1.1414,1.3688,20.39,20.4,533.00,552.50,8.23,549.42,11.56,4.36,0.97,30.70,91.55,0.69,939.07
379,4/5/2023,AD3,Control,Control,64,10,Glycerol,S731_AD3,1.67,69.3,1.16,59.67555041,S725_AD3,7.03,S682_AD3,22717.5,1075,14.56695256,62.71683869,67,2.36772372,329.2315717,2,3533.916,,,,,,,,,,S676_AD3,0,0,0,0,15.55,22.56,0.77,1.11,0.43,0.34,1.34,0.49,#088,S659_AD3,246.5,1.7657,2.231,25.88,25.9,668.00,688.28,7.84,686.45,12.82,4.67,0.96,25.01,120.37,0.72,42.59
380,4/5/2023,AD4,Control,Control,64,10,Glycerol,S732_AD4,1.82,69.2,1.27,56.19930475,S726_AD4,7.11,S683_AD4,21486.5,1162.5,18.88706655,64.73711256,61,0.55997878,77.86495203,5.1,917.998,S666_AD4,34.914,5.92,5.258,6.6,0.17,6.35,1.08,0.96,S677_AD4,0,0,0,0,70.33,62.14,1.85,2.82,1.83,1.14,2.58,1.21,#089,S660_AD4,174.5,1.2702,1.3975,17.61,17.6,533.00,554.72,9.56,545.98,11.54,4.42,0.97,31.88,91.55,0.70,143.9
381,4/5/2023,AD5,Treatment,Treatment,64,10,Glycerol,S733_AD5,1.94,71.49,1.38,52.02780997,S727_AD5,6.29,S684_AD5,27522,1275,3.179152725,54.83186242,48,1.99812576,277.8390396,3.2,4162.762,S692_AD5,34.196,5.93,5.661,6,0.17,6.63,1.15,1.1,S678_AD5,0,0,0,0,36.24,816.28,30.34,29.16,41.67,25.36,2.32,12.43,#090,S661_AD5,158,0.8631,1.1105,15.32,15.3,394.00,397.39,2.78,398.01,9.72,4.22,0.96,27.47,63.72,0.71,993.8
382,4/5/2023,AD6,Treatment,Treatment,64,10,Glycerol,S734_AD6,1.87,71.31,1.34,53.5225956,S728_AD6,6.25,S685_AD6,26708.5,1212.5,2.757898302,56.16694998,33,1.046727,145.5472074,8.7,3171.9,S667_AD6,37.31,5.687,5.989,6.2,0.15,6.98,1.06,1.12,S679_AD6,4.4,0,0,0,405.42,853.1,27.31,35.36,44.68,30.45,2.06,6.38,#091,S662_AD6,188.5,1.1446,1.4752,19.72,19.7,542.00,549.97,4.71,548.41,11.54,4.39,0.95,21.00,93.42,0.70,1404.76
384,5/5/2023,AD1,Control,Control,65,10,Glycerol,,,,,,,,S693_AD1,23133.5,1000,18.19329847,62.03411414,,,,,4146.265,S741_AD1,34.091,5.377,5.365,6.4,0.16,5.76,0.91,0.91,S753_AD1,0,0,0,0,60.6,54.51,2.15,2.92,2.34,1.37,2.41,0.86,#092,S735_AD1,216.5,1.511,1.8085,22.55,22.6,606.00,618.81,5.84,619.13,12.27,4.65,0.97,35.47,106.93,0.73,127.16
385,5/5/2023,AD2,Treatment,Treatment,65,10,Glycerol,,,,,,,,S694_AD2,30835.5,1100,3.006695372,49.39386286,,,,,2802.111,S742_AD2,36.578,6.407,5.876,6.2,0.18,6.36,1.11,1.02,S754_AD2,0,0,0,0.05,30.93,1701.03,46.11,54.28,74.92,40.62,2.39,11.09,#093,S736_AD2,181,0.9418,1.4754,18.74,18.7,591.00,617.23,10.02,610.18,12.17,4.49,0.97,32.61,103.73,0.70,1961.42
386,5/5/2023,AD3,Control,Control,65,10,Glycerol,,,,,,,,S695_AD3,25129.5,1200,16.26078425,58.7583492,,,,,3265.391,S743_AD3,34.593,5.386,5.322,6.5,0.16,6.54,1.02,1.01,S755_AD3,0,0,0,0,20.34,38.84,1.08,1.76,1.42,0.73,1.38,0.33,#094,S737_AD3,215,1.3422,1.6448,21.76,21.8,640.00,665.02,9.26,661.25,12.66,4.68,0.96,25.96,114.26,0.72,65.88
387,5/5/2023,AD4,Control,Control,65,10,Glycerol,,,,,,,,S696_AD4,21971.5,1275,20.71484718,63.94114763,,,,,1171.266,S744_AD4,32.49,5.638,5.285,6.1,0.17,5.33,0.92,0.87,S756_AD4,0,0.07,0,0,40.84,39.97,1.14,1.78,1.19,0.58,1.86,0.36,#095,S738_AD4,229,1.6689,2.1313,23.66,23.7,557.00,571.91,6.41,574.41,11.82,4.40,0.97,31.61,96.55,0.70,87.72
388,5/5/2023,AD5,Treatment,Treatment,65,10,Glycerol,,,,,,,,S697_AD5,28888,1200,2.992143741,52.59003131,,,,,2905.319,S745_AD5,34.873,6.225,5.919,5.9,0.18,5.79,1.03,0.98,S757_AD5,0,0,0,0.35,92.18,1310.2,44.88,75,71.69,54,2.63,17.26,#096,S739_AD5,311,1.703,4.1384,31.74,31.7,539.00,549.78,5.25,551.71,11.58,4.44,0.96,28.47,92.79,0.71,1668.19
389,5/5/2023,AD6,Treatment,Treatment,65,10,Glycerol,,,,,,,,S698_AD6,31378,1125,2.558874714,48.50353096,,,,,2743.111,S746_AD6,36.491,5.547,5.498,6.6,0.15,5.95,0.9,0.9,S758_AD6,0,0,0,0,600.05,2345.67,43.93,62.07,70.75,53.65,2.3,9.97,#097,S740_AD6,180,0.912,1.6381,18.46,18.5,563.00,578.75,7.08,575.96,11.83,4.31,0.94,17.78,97.81,0.68,3188.39
402,8/5/2023,AD1,Control,Control,68,11,Inhibition,,,,,,,,S759_AD1,22853,850,16.17924141,55.82291957,65,1.9478173,269.1904595,2,2996.642,S783_AD1,31.929,5.702,5.41,5.9,0.18,5.59,1,0.95,S795_AD1,0,0.96,0,0.25,31.08,32.04,0.95,1.58,1.69,1.04,1.56,0.82,#098,S777_AD1,199,1.3943,1.7319,20.56,20.6,635.00,653.68,7.54,653.31,12.62,4.86,0.98,49.08,113.17,0.75,71.01
403,8/5/2023,AD2,Treatment,Treatment,68,11,Inhibition,,,,,,,,S760_AD2,34672,875,1.409915705,32.97563853,42,0.37085664,51.25278913,2.3,882.992,S784_AD2,36.696,5.76,5.441,6.7,0.16,5.28,0.83,0.78,S796_AD2,0.8,3.05,0,0,272.35,3186.93,57.58,64.63,101.37,66.02,2.25,14.24,#099,S778_AD2,185.5,0.8393,1.91,18.78,18.8,857.00,929.84,17.26,923.09,14.51,4.68,0.97,35.99,163.39,0.69,3765.37
404,8/5/2023,AD3,Control,Control,68,11,Inhibition,,,,,,,,S761_AD3,26088.5,1000,18.19329847,49.56838215,66,2.56151478,354.0041156,1.6,3881.083,S785_AD3,34.04,5.792,5.54,6.1,0.17,6.6,1.12,1.07,S797_AD3,0,0,0,0,18.62,33.88,0.93,1.43,1.33,0.59,1.49,0.46,#100,S779_AD3,269,1.6544,2.1096,27.85,27.8,637.00,659.08,9.04,652.57,12.60,4.94,0.98,48.04,113.61,0.76,58.73
405,8/5/2023,AD4,Control,Control,68,11,Inhibition,,,,,,,,S762_AD4,22155.5,975,20.31173567,57.17125518,,,,,2156.701,S786_AD4,34.22,5.288,5.393,6.3,0.15,5.75,0.89,0.91,S798_AD4,0,0.06,0.32,0.05,79.29,50.76,1.91,3.17,2.12,1.45,2.16,0.46,#101,S780_AD4,156,1.1228,1.433,16.05,16,740.00,779.32,12.24,771.95,13.61,4.78,0.97,38.94,136.41,0.72,141.37
406,8/5/2023,AD5,Treatment,Treatment,68,11,Inhibition,,,,,,,,S763_AD5,33296,1125,2.129194045,35.63558089,34,0.2648124,36.59736036,4.9,778.86,S787_AD5,35.097,6.392,5.02,7,0.18,4.49,0.82,0.64,S799_AD5,0,8.39,0.41,0.11,474.91,3268.68,71.58,89.17,117.66,169.92,2.55,20.4,#102,S781_AD5,141.5,0.6862,1.7547,14.74,14.7,545.00,553.12,4.63,551.94,11.60,4.56,0.97,32.07,94.04,0.72,4214.98
407,8/5/2023,AD6,Treatment,Treatment,68,11,Inhibition,,,,,,,,S764_AD6,35543.5,1150,0.828457655,31.29094393,28,0.1699992,23.49407348,5.8,607.14,S788_AD6,36.897,6.245,5.396,6.8,0.17,5.5,0.93,0.8,S800_AD6,1.36,4.91,0,0.74,832.26,3689.94,63.38,200.44,112.31,106.34,2.77,12.73,#103,S782_AD6,125,0.5512,1.2428,12.64,12.6,570.00,574.37,3.07,574.87,11.90,4.49,0.95,21.36,99.28,0.71,5020.91
420,11/5/2023,AD1,Control,Control,71,11,Inhibition,S904_AD1,1.59,67.66,1.07,62.78935852,S898_AD1,7.21,S819_AD1,23308.5,725,14.76680096,54.94239359,,,,,3329.387,S843_AD1,35.171,5.766,5.577,6.3,0.16,5.59,0.92,0.89,S855_AD1,0,0,0,0,35.19,23.31,0.82,1.17,0.53,0.5,1.35,0.23,#104,S837_AD1,168,1.1529,1.6098,17.34,17.3,525.00,538.78,6.59,536.59,11.38,4.70,0.98,47.06,89.89,0.75,63.1
421,11/5/2023,AD2,Treatment,Treatment,71,11,Inhibition,S905_AD2,1.33,66.98,0.91,69.14660832,S899_AD2,5.94,S820_AD2,39273,850,0.948024866,24.08145628,,,,,716.964,S844_AD2,36.317,5.896,4.697,7.7,0.16,4.83,0.78,0.62,S856_AD2,0,3.28,0,0,569,3727.28,94.6,169.73,161.26,116.81,2.87,16.19,#105,S838_AD2,125,0.5029,1.4269,12.74,12.7,575.00,585.78,5.32,586.94,11.97,4.57,0.96,26.69,100.33,0.72,4857.74
422,11/5/2023,AD3,Control,Control,71,11,Inhibition,S906_AD3,1.93,67.06,1.28,55.67200276,S900_AD3,7.26,S821_AD3,24713,1025,23.36653301,52.22735795,,,,,3781.373,S845_AD3,34.046,5.81,5.632,6,0.17,6.57,1.12,1.09,S857_AD3,0,1.51,0.1,0.13,19.07,31.92,0.99,1.65,1.7,1.02,2.36,0.35,#106,S839_AD3,174.67,1.0911,1.356,17.40,17.4,552.00,570.50,8.11,565.45,11.73,4.73,0.97,39.20,95.50,0.75,59.19
423,11/5/2023,AD4,Control,Control,71,11,Inhibition,S907_AD4,0.49,56.14,0.27,90.56777611,S901_AD4,7.13,S822_AD4,29644,1025,17.42460752,42.69525348,,,,,2718.159,S846_AD4,32.749,5.743,5.02,6.5,0.18,1.6,0.28,0.25,S858_AD4,0,0.49,0,0.13,42.51,26.65,0.96,1.43,0.73,0.57,2.46,0.31,#107,S840_AD4,182.67,0.9657,6.7655,18.47,18.5,510.00,524.65,6.64,524.03,11.27,4.29,0.96,26.87,86.81,0.69,75.75
424,11/5/2023,AD5,Treatment,Treatment,71,11,Inhibition,S908_AD5,1.11,62.5,0.69,76.16031326,S902_AD5,5.9,S823_AD5,36512,1100,1.119015521,29.41873887,,,,,695.892,S847_AD5,34.543,6.584,5.027,6.9,0.19,3.83,0.73,0.56,S859_AD5,0,4.14,0.42,0.07,664.67,3409.51,93.66,163.23,159.61,206.42,3.03,19.22,#108,S841_AD5,118,0.5169,1.7649,12.18,12.2,565.00,567.83,2.21,571.01,11.86,4.56,0.96,25.33,98.23,0.72,4719.42
425,11/5/2023,AD6,Treatment,Treatment,71,11,Inhibition,S909_AD6,1.54,66.34,1.02,64.75872394,S903_AD6,5.57,S824_AD6,41530.5,1150,0.547490371,19.71748835,,,,,586.761,S848_AD6,36.19,5.555,4.832,7.5,0.15,5.57,0.86,0.74,S860_AD6,0,5.41,0,0.14,993.5,3445.92,84.3,283.22,150.47,142.66,3.12,14.27,#109,S842_AD6,104.67,0.404,1.0612,10.82,10.8,709.00,719.39,5.04,721.13,13.26,5.08,0.98,41.49,129.45,0.77,5117.6
426,11/5/2023,PSTWAS,PSTWAS,PSTWAS,71,11,Inhibition,F94,3.43,80.98,2.78,,F92,5.42,F93,69208,50,0.016854235,,,,,,,F89,44.425,7.462,5.721,7.8,0.17,15.24,2.56,1.96,,,,,,,,,,,,,,#110,F90,196.67,0.6248,0.6792,19.79,19.8,1107.00,1127.78,7.33,1129.35,16.59,6.04,0.99,153.57,224.59,0.86,
427,12/5/2023,AD1,Control,Control,72,11,Inhibition,,,,,,,,S892_AD1,24083,875,17.82200116,53.44520947,67,2.48249606,343.083643,1.8,3705.218,S940_AD1,36.018,6.019,5.804,6.2,0.17,7.42,1.24,1.2,S952_AD1,0,2.13,0,0.2,41.54,41.95,1.33,2.51,2.28,1.76,1.69,0.42,#111,S934_AD1,173,1.098,1.1247,17.06,17.1,592.00,598.52,3.81,599.91,12.11,4.76,0.98,44.19,103.94,0.74,
428,12/5/2023,AD2,Treatment,Treatment,72,11,Inhibition,,,,,,,,S893_AD2,36929,1000,1.115323372,28.61263715,30,0.2438808,33.70459058,6.4,812.936,S941_AD2,37.089,6.016,5.277,7,0.16,7.08,1.15,1.01,S953_AD2,0,0.87,0.14,0.06,521.21,2911.57,82.54,173.77,158.35,116.31,3.03,14.85,#112,S935_AD2,109,0.4631,0.7786,11.03,11,656.00,666.15,5.23,664.92,12.72,4.77,0.97,31.85,117.74,0.74,
429,12/5/2023,AD3,Control,Control,72,11,Inhibition,,,,,,,,S894_AD3,25933.5,1250,28.49577197,49.86801228,65,2.49631395,344.9932903,2.3,3840.483,S942_AD3,35.249,5.466,5.792,6.1,0.16,7.26,1.13,1.19,S954_AD3,0,0.05,0,0.17,20.75,22.16,0.71,1.07,0.46,0.49,1.97,0.14,#113,S936_AD3,205,1.2314,1.4408,20.60,20.6,555.00,562.04,4.39,560.71,11.61,4.85,0.98,47.04,96.13,0.77,
430,12/5/2023,AD4,Control,Control,72,11,Inhibition,,,,,,,,S895_AD4,30089.5,1200,20.39954051,41.83405848,55,1.6865068,233.0770655,1.9,3066.376,S943_AD4,33.809,5.642,5.194,6.5,0.17,2.27,0.38,0.35,S955_AD4,0,0,0,0.1,40.3,31.58,1.02,1.51,0.7,0.49,1.87,0,#114,S937_AD4,166.5,0.8425,4.2263,16.36,16.4,483.00,495.79,6.33,493.97,10.96,4.37,0.96,28.07,81.31,0.71,
431,12/5/2023,AD5,Treatment,Treatment,72,11,Inhibition,,,,,,,,S896_AD5,38711.5,1250,1.271608547,25.1668906,32,0.1822528,25.18753426,4.3,569.54,S944_AD5,34.502,6.669,4.667,7.4,0.19,5.45,1.05,0.74,S956_AD5,0,2.69,0,0.09,620.26,2831.22,87.38,171.49,162.15,205.81,3,17.67,#115,S938_AD5,110.5,0.4329,1.0077,10.81,10.8,613.00,618.25,3.33,619.74,12.32,4.72,0.96,27.30,108.43,0.74,
432,12/5/2023,AD6,Treatment,Treatment,72,11,Inhibition,,,,,,,,S897_AD6,43255,1175,0.559392335,16.38386146,30,0.1576938,21.79345388,5.5,525.646,S945_AD6,37.7,6.108,5.208,7.2,0.16,6.56,1.06,0.91,S957_AD6,0,3.8,0,0,779.59,2452.8,70.07,256.9,143.38,142.52,2.73,14.36,#116,S939_AD6,105,0.3696,1.0182,10.31,10.3,909.00,941.68,11.07,932.03,15.07,5.39,0.98,55.25,175.73,0.79,
446,15/5/2023,AD1,Control,Control,75,12,Inhibition,,,,,,,,S958_AD1,23841,,,,70,3.5346682,516.0099562,1.2,5049.526,S1007_AD1,35.42,5.425,5.451,6.5,0.15,7.3,1.12,1.12,S1019_AD1,0,0.64,0,0.1,65.35,52.49,1.69,2.57,1.81,1.07,1.98,0,#117,S1001_AD1,189,0.9801,0.9937,15.07,18.8,508.00,518.80,5.60,518.28,11.24,4.57,0.98,40.33,86.40,0.73,127.06
447,15/5/2023,AD2,Treatment,Treatment,75,12,Inhibition,,,,,,,,S959_AD2,41898.5,,,,29,0.2617714,38.21480292,5,902.66,S1008_AD2,38.784,6.142,5.208,7.4,0.16,7.41,1.17,0.99,S1020_AD2,4.95,2.43,0,0.07,581.7,2112.05,84.62,218.54,180.46,137.77,3.03,16.42,#118,S1002_AD2,119.33,0.3542,0.6758,9.58,12,610.00,622.35,5.72,624.38,12.33,4.67,0.96,27.01,107.78,0.73,3334.66
448,15/5/2023,AD3,Control,Control,75,12,Inhibition,,,,,,,,S960_AD3,24926,,,,71,3.64782167,532.5287109,1,5137.777,S1009_AD3,34.69,5.447,5.649,6.1,0.16,7.15,1.12,1.16,S1021_AD3,0,0.84,0,0.1,28.55,38.33,1.07,2.19,1.72,1.07,1.64,0.59,#119,S1003_AD3,213,1.0639,1.1964,17.11,21.4,452.00,456.64,3.21,458.02,10.54,4.51,0.97,34.61,75.08,0.74,75.26
449,15/5/2023,AD4,Control,Control,75,12,Inhibition,,,,,,,,S961_AD4,18648.5,,,,66,3.25452534,475.1131883,1.2,4931.099,S1010_AD4,33.373,5.155,5.093,6.6,0.15,2.24,0.35,0.34,S1022_AD4,0,1,0.26,0.16,114.31,70.74,2.98,4.44,5.01,1.8,2.05,0.48,#120,S1004_AD4,148,0.9743,3.0291,11.72,14.7,509.00,532.07,9.23,528.11,11.33,4.19,0.96,24.39,86.60,0.67,201.97
450,15/5/2023,AD5,Treatment,Treatment,75,12,Inhibition,,,,,,,,S962_AD5,39389.5,,,,32,0.25976384,37.92172847,3,811.762,S1011_AD5,39.254,6.189,5.16,7.6,0.16,6.2,0.98,0.82,S1023_AD5,0,4.52,0.43,0.12,943.62,3074.75,115.53,271.11,203.92,235.76,3.29,18.85,#121,S1005_AD5,89.6,0.284,0.6727,7.22,9,743.00,777.58,10.80,778.28,13.72,4.72,0.96,23.29,137.09,0.71,4866.95
451,15/5/2023,AD6,Treatment,Treatment,75,12,Inhibition,,,,,,,,S963_AD6,39612.5,,,,27,0.17055441,24.89845401,4.5,631.683,S1012_AD6,,,,,,,,,S1024_AD6,0,6.37,0.93,0.15,1233.71,3037.45,103.23,390.93,199.11,212.01,3.5,20.43,#122,S1006_AD6,85.9,0.2892,0.7297,7.39,9.2,862.00,882.57,7.70,882.04,14.67,5.50,0.99,87.39,164.56,0.81,5200.52
463,18/5/2023,PSTWAS,PSTWAS,PSTWAS,78,12,Inhibition,F103,3.44,83.82,2.74,,F101,5.94,F102,72584,,,,,,,,,F98,41.763,6.786,4.78,8.7,0.16,0,0,0,,,,,,,,,,,,,,#123,F99,175.67,0.4951,1.838,17.22,17.2,869.00,875.63,3.73,877.67,14.54,5.78,0.99,125.14,166.21,0.85,
470,18/5/2023,Full-scale,Full-scale,Full-scale,78,12,Inhibition,,,,,,,,,,,,,,,,,,S382_Adfull,34.331,5.888,5.941,5.8,0.17,6.35,1.09,1.1,,,,,,,,,,,,,,#124,S381_full,243.67,1.5862,1.836,24.91,24.9,717.00,758.60,13.55,747.98,13.40,5.12,0.98,55.27,131.24,0.78,
489,22/5/2023,AD1,Control,Control,82,13,Recovery/Feedingpause,,,,,,S1071_AD1,7.36,,,,,,66,3.07245906,439.2887969,0.7,4655.241,,,,,,,,,,S1071_AD1,0,0.75,0.41,0.62,44.67,33.73,1.13,2.23,1.73,1.12,1.73,0.44,#125,S1065_AD1,165.33,1.077,1.0921,16.57,16.6,570.00,582.08,6.01,579.94,11.89,4.56,0.97,36.08,99.28,0.72,
490,22/5/2023,AD2,Treatment,Treatment,82,13,Recovery/Feedingpause,,,,,,S1090_AD2,5.995,,,,,,35,0.5216435,74.58265221,4.5,1490.41,,,,,,,,,,S1072_AD2,0,0.33,0.13,0.15,866.51,2771.83,148.86,385.73,266.39,225.36,3.38,25.92,#126,S1066_AD2,48.9,0.1807,0.3448,4.89,4.9,726.00,763.20,12.73,750.13,13.53,4.71,0.96,24.10,133.26,0.72,
491,22/5/2023,AD3,Control,Control,82,13,Recovery/Feedingpause,,,,,,S1067_AD3,7.37,,,,,,69,2.44337211,349.3442788,1,3541.119,,,,,,,,,,S1073_AD3,0,0.51,0.26,0.19,24.14,35.42,1.35,2.72,2.09,1.36,1.49,0.4,#127,S1067_AD3,162,1.0072,1.1326,16.20,16.2,547.00,567.50,8.53,562.22,11.67,4.55,0.97,37.47,94.46,0.72,
492,22/5/2023,AD4,Control,Control,82,13,Recovery/Feedingpause,,,,,,S1068_AD4,7.43,,,,,,65,3.6081032,515.8732086,1,5550.928,,,,,,,,,,S1074_AD4,0,0,0,0.13,104.42,43.57,2.48,3.84,3.86,1.47,2.27,0.46,#128,S1068_AD4,810,6.7189,20.8885,80.84,80.8,535.00,552.10,8.04,546.32,11.51,4.38,0.97,29.65,91.96,0.70,
493,22/5/2023,AD5,Treatment,Treatment,82,13,Recovery/Feedingpause,,,,,,S1089_AD5,5.57,,,,,,34,0.25348122,36.24180436,2.4,745.533,,,,,,,,,,S1075_AD5,0,4.89,0,0.21,1292.41,2576.42,141.63,410.52,259.76,265.84,4.34,22.97,#129,S1069_AD5,78.55,0.3102,0.7348,7.88,7.9,736.00,749.72,6.08,749.48,13.55,4.86,0.97,32.06,135.51,0.74,
494,22/5/2023,AD6,Treatment,Treatment,82,13,Recovery/Feedingpause,,,,,,S1091_AD6,5.4,,,,,,23,0.1874753,26.80452282,3.8,815.11,,,,,,,,,,S1076_AD6,0,4.18,0,0.16,1457.04,2133.66,118.92,435.15,233.54,302.14,4.12,36.83,#130,S1070_AD6,67.05,0.2654,0.6696,6.78,6.8,990.00,1008.88,7.15,1008.36,15.71,5.57,0.99,69.03,195.36,0.81,
501,24/5/2023,PSTWAS,PSTWAS,PSTWAS,84,13,Recovery/Feedingpause,F114,3.44,83.75,2.74,,F112,6.44,F113,78598,,,,,,,,,F109,43.813,6.097,4.869,9,0.14,7.62,1.06,0.85,,,,,,,,,,,,,,#131,F110,179,0.2882,1.0994,10.70,17.8,1086.00,1129.13,12.60,1121.08,16.52,5.99,0.99,167.90,219.27,0.86,
534,29/5/2023,AD1,Control,Control,89,14,Recovery/Feedingpause,,,,,,S1127_AD1,7.51,,,,,,61,0.20135795,,4,330.095,,,,,,,,,,S1115_AD1,0,1.19,0,0.27,20.91,13.19,0.82,1.9,1.8,1.39,2.09,0.74,#132,S1109_AD1,126.5,0.8598,,0.00,12.6,474.00,489.16,7.01,487.62,10.88,4.29,0.96,28.40,79.49,0.70,
535,29/5/2023,AD2,Treatment,Treatment,89,14,Recovery/Feedingpause,,,,,,S1128_AD2,7.23,,,,,,77,2.30136753,,0.9,2988.789,,,,,,,,,,S1116_AD2,0,0.51,0,0.23,98.13,1856.05,109.38,14.74,208.32,111.18,3.38,3.97,#133,S1110_AD2,42.25,0.3808,,0.00,4.2,544.00,574.49,11.58,564.85,11.70,4.28,0.96,22.96,93.83,0.68,
536,29/5/2023,AD3,Control,Control,89,14,Recovery/Feedingpause,,,,,,S1129_AD3,7.65,,,,,,60,0.1334724,,5.7,222.454,,,,,,,,,,S1117_AD3,0,1.06,0,0.24,30.24,18.3,1.04,1.21,1.94,0.98,2.09,0.68,#134,S1111_AD3,172,1.115,,0.00,17.1,557.00,572.12,6.62,572.64,11.80,4.44,0.97,29.41,96.55,0.70,
537,29/5/2023,AD4,Control,Control,89,14,Recovery/Feedingpause,,,,,,S1130_AD4,7.48,,,,,,60,0.2558262,,3.5,426.377,,,,,,,,,,S1118_AD4,0,0.57,0.62,0.7,17.21,15.27,1.12,1.09,0.92,0.71,1.53,0.47,#135,S1112_AD4,120,0.7075,,0.00,12.1,511.00,525.03,6.53,523.80,11.28,4.26,0.96,23.90,87.01,0.68,
538,29/5/2023,AD5,Treatment,Treatment,89,14,Recovery/Feedingpause,,,,,,S1131_AD5,6.6,,,,,,54,1.52653572,,2.3,2826.918,,,,,,,,,,S1119_AD5,0.69,0,0,0.18,1219.71,2647.54,170.94,411.3,311.2,276.57,3.71,24.47,#136,S1113_AD5,40.65,0.2648,,0.00,4,493.00,512.90,7.91,513.86,11.03,4.01,0.95,22.20,83.33,0.65,
539,29/5/2023,AD6,Treatment,Treatment,89,14,Recovery/Feedingpause,,,,,,S1132_AD6,6.46,,,,,,45,0.75422565,,5.7,1676.057,,,,,,,,,,S1120_AD6,2.04,1.1,0,0.19,1681.73,2156.9,148.6,513.27,293.34,340.36,4.79,45.82,#137,S1114_AD6,37.05,0.2175,,0.00,3.7,553.00,572.21,7.88,569.98,11.74,4.37,0.97,28.95,95.71,0.69,
558,2/6/2023,AD1,Control,Control,93,14,Recovery/Foaming,,,,,,,,,,,,,63,1.362249,,1.7,2162.3,S1183_AD1,31.87,5.364,5.06,6.3,0.17,,,,,,,,,,,,,,,,,#140,S1147_AD1,142.33,0.767,,0.00,14.1,479.00,490.81,6.06,489.08,10.92,4.34,0.96,27.46,80.50,0.70,0
559,2/6/2023,AD2,Treatment,Treatment,93,14,Recovery/Foaming,,,,,,,,,,,,,78,5.57072256,,1.4,7141.952,S1183_AD2,,,,,,,,,,,,,,,,,,,,,,#141,S1148_AD2,67.77,0.496,,0.00,6.9,484.00,507.27,9.50,501.73,10.99,4.33,0.97,31.38,81.51,0.70,0
